,2016/Annual,2017/Annual,2017/Annual,2017/Annual,2017/Annual,2017/Annual,2017/Annual,2017/Annual,2017/Annual,2017/Annual,2017/Annual,2017/Annual,2017/Annual,2017/Annual,2017/Annual,2017/Annual,2017,,,2017,2017/Annual
Name,주당배당금/0D2007,주당배당금/0D2007,배당금/136300,현금배당금/136310,당좌비율/203220,매출채권회전율/194120,재고자산회전율1/194080,이익잉여금/118300,베타/280223,매출액증가율/091060,부채비율/193060,당기순이익/133000,유동비율/193020,매출액/121000,자기자본증가율/191050,매출액(종업원1인당)/195020,1대주주명(지분)/0A2211,종업원수/0A1060,기업규모/0A1070,KIS 신용평점/0A3010,기말시가총액합계(보통주+우선주)/0D1113
(주)유씨아이,-,-,,,28.24,4.64,20.01,"-39,852,131,000.",2.,-4.56,316.14,"-12,901,318,000.",34.20,"15,909,320,000.",-71.52,"269,649,490.0",(주)머큐리어드바이저(7.74),69.,중소기업,9,"41,351,569,200."
(주)상아프론테크,138.63,138.73,"1,978,711,000.","1,978,711,000.",148.29,3.12,9.22,"74,199,409,000.",.73,-0.46,70.56,"7,310,101,000.",173.50,"132,094,365,000.",2.08,"232,560,500.0",이상원(21.46),553.,대기업,5,"203,968,564,800."
(주)서울리거,-,-,,,"2,665.96",1.63,11.66,"-2,569,228,000.",.59,-21.73,3.88,"-1,335,012,000.","2,834.11","14,284,034,000.",-6.72,"297,584,040.0",(주)서울리거파트너스(6.08),19.,중소기업,5,"87,100,645,500."
(주)대한과학,39.99,49.99,"357,709,000.","357,709,000.",80.53,5.70,2.83,"11,323,999,000.",.61,-18.42,36.48,"525,185,000.",234.67,"31,663,846,000.",1.03,"282,712,910.0",서정구(9.29),123.,중소기업,3,"37,570,475,250."
(주)코맥스,59.08,59.1,"827,645,000.","689,704,000.",118.92,3.59,6.69,"37,645,789,000.",1.09,7.20,65.63,"7,315,662,000.",177.24,"140,251,626,000.",12.63,"628,931,060.0",변봉덕(23.95),191.,대기업,3,"96,908,261,280."
(주)해덕파워웨이,98.03,245.09,"2,493,371,000.","2,493,371,000.",156.88,8.14,4.11,"81,644,346,000.",.16,-50.18,68.73,"-1,777,374,000.",166.43,"27,580,507,000.",-2.30,"281,433,740.0",구재고(51.26),88.,중소기업,7,"52,393,447,750."
(주)인팩,150.,130.,"1,300,000,000.","1,300,000,000.",104.92,4.52,19.27,"80,171,296,000.",.22,-2.22,54.91,"4,188,712,000.",121.28,"145,511,560,000.",2.56,"375,029,790.0",최오길(20.00),331.,대기업,3,"45,450,000,000."
(주)포메탈,39.41,59.11,"710,834,000.","710,834,000.",101.33,6.06,11.85,"28,172,538,000.",.51,17.90,45.61,"2,454,141,000.",140.90,"54,017,360,000.",3.82,"428,709,210.0",오세원(13.92),131.,중소기업,3,"44,604,828,480."
(주)미래컴퍼니,150.44,367.85,"2,818,021,000.","2,716,165,000.",169.29,3.82,20.63,"74,029,976,000.",.77,135.86,66.05,"27,481,520,000.",187.98,"175,260,490,000.",38.21,"608,543,370.0",김준구(23.24),325.,중소기업,4,"685,644,106,000."
(주)에스제이엠홀딩스,181.49,181.49,"2,710,398,000.","2,710,398,000.",214.44,,,"124,131,834,000.",.28,-34.10,10.12,"15,329,920,000.",214.44,"6,477,991,000.",9.37,"1,079,665,170.0",김휘중(51.05),5.,중소기업,4,"71,683,238,400."
삼지전자(주),-,114.24,"1,864,261,000.","1,864,261,000.",53.34,2.89,6.45,"32,102,268,000.",1.21,-16.22,49.02,"9,694,312,000.",62.20,"32,224,523,000.",20.59,"235,215,500.0",이기남(22.11),156.,대기업,5,"133,322,324,740."
신화인터텍(주),49.79,-,,,51.2,5.17,9.81,"15,495,377,000.",.85,-15.99,96.48,"-1,866,465,000.",69.28,"160,180,740,000.",-3.59,"423,758,570.0",(주)효성(15.26),395.,대기업,6,"70,361,244,765."
(주)파워넷,-,-,,,146.93,8.91,11.84,"12,254,732,000.",1.03,-10.98,66.99,"7,044,575,000.",197.40,"122,604,473,000.",28.35,"1,263,963,640.0",(주)위지트(39.40),103.,중소기업,4,"36,118,107,690."
제이엠아이(주),-,-,,,423.18,2.16,23.0,"-664,654,000.",.53,-9.22,11.80,"955,295,000.",437.04,"15,146,855,000.",2.25,"196,712,400.0",제이엠티(주)(15.75),69.,중소기업,3,"36,163,069,620."
동아화성(주),97.4,44.63,"705,206,000.","705,206,000.",134.17,2.19,27.11,"72,444,111,000.",.39,-2.92,55.67,"5,798,646,000.",144.72,"133,365,467,000.",5.12,"381,044,190.0",임경식(40.65),365.,대기업,4,"74,813,000,000."
(주)에쎈테크,-,-,,,66.53,3.52,3.96,"-8,249,939,000.",.87,-9.31,88.95,"619,431,000.",130.37,"66,131,227,000.",2.21,"263,471,020.0",(주)대창(34.02),216.,대기업,7,"99,720,000,000."
(주)코엔텍,24.89,24.89,"1,244,643,000.","1,244,643,000.",431.4,7.17,"1,212.84","87,565,537,000.",.7,10.34,40.81,"14,376,280,000.",431.68,"53,606,953,000.",13.15,"776,912,360.0",그린에너지홀딩스(유)(59.29),84.,중소기업,2,"265,500,000,000."
(주)한국팩키지,30.,30.,"750,000,000.","750,000,000.",281.51,5.66,9.56,"27,143,337,000.",1.23,-3.57,29.05,"2,845,884,000.",334.31,"56,972,317,000.",4.69,"606,088,480.0",한국제지(주)(40.00),100.,대기업,4,"54,000,000,000."
(주)녹십자셀,49.96,49.96,"584,299,000.","584,299,000.",326.62,7.12,19.31,"1,373,595,000.",1.22,64.06,150.02,"717,889,000.",333.42,"19,536,787,000.",15.82,"137,583,010.0",(주)녹십자(25.03),226.,중소기업,6,"569,592,229,300."
티제이미디어(주),60.,80.,"1,114,529,000.","1,114,529,000.",315.33,11.01,3.80,"65,880,133,000.",.22,6.86,20.11,"1,647,741,000.",652.55,"77,779,010,000.",0.82,"328,181,480.0",김우영(21.03),227.,중소기업,3,"64,085,401,400."
(주)와이티엔,15.,20.,"840,000,000.","840,000,000.",115.22,2.94,292.48,"74,660,195,000.",.06,0.28,56.51,"4,537,490,000.",116.22,"131,050,999,000.",3.84,"198,562,120.0",한전케이디엔(주)(21.43),661.,대기업,5,"87,990,000,000."
국일신동(주),45.67,68.51,"759,750,000.","759,750,000.",414.79,3.34,6.24,"35,619,374,000.",.26,20.24,15.86,"2,978,285,000.",620.73,"33,305,118,000.",6.93,"555,085,300.0",손인국(42.27),61.,중소기업,2,"33,048,200,000."
(주)뉴프렉스,-,-,,,51.07,7.44,5.66,"17,337,506,000.",.96,4.65,149.81,"2,610,320,000.",105.96,"151,335,859,000.",12.45,"341,615,930.0",임우현(33.24),380.,대기업,5,"68,923,506,760."
(주)동우팜투테이블,-,49.79,"1,286,088,000.","1,286,088,000.",452.98,12.87,25.84,"131,994,480,000.",.55,-2.08,16.99,"17,506,765,000.",486.23,"230,843,688,000.",19.06,"462,612,600.0",군산도시가스(주)(21.60),639.,대기업,2,"105,264,438,300."
(주)코너스톤네트웍스,-,-,,,152.51,0.35,1.54,"-75,811,992,000.",.33,-87.25,105.20,"-51,981,694,000.",164.89,"3,963,956,000.",-34.57,"73,406,590.0",(주)수성(12.20),34.,중소기업,9,"78,967,187,985."
(주)형지아이앤씨,-,-,,,34.38,7.70,2.42,"-20,456,829,000.",.69,-11.49,185.76,"-27,563,804,000.",135.12,"113,532,672,000.",-50.99,"1,071,062,940.0",최병오(39.92),92.,중소기업,8,"45,383,353,220."
