,2016/Annual,2017/Annual,2017/Annual,2017/Annual,2017/Annual,2017/Annual,2017/Annual,2017/Annual,2017/Annual,2017/Annual,2017/Annual,2017/Annual,2017/Annual,2017/Annual,2017/Annual,2017/Annual,2017,,,2017,2017/Annual
Name,주당배당금/0D2007,주당배당금/0D2007,배당금/136300,현금배당금/136310,당좌비율/203220,매출채권회전율/194120,재고자산회전율1/194080,이익잉여금/118300,베타/280223,매출액증가율/091060,부채비율/193060,당기순이익/133000,유동비율/193020,매출액/121000,자기자본증가율/191050,매출액(종업원1인당)/195020,1대주주명(지분)/0A2211,종업원수/0A1060,기업규모/0A1070,KIS 신용평점/0A3010,기말시가총액합계(보통주+우선주)/0D1113
(주)와이비엠넷,62.88,41.92,"683,829,000.","683,829,000.",90.39,8.45,7.61,"20,321,378,000.",1.31,-8.0,83.77,"-5,736,703,000.",112.50,"60,986,567,000.",-13.62,"140,846,580.0",(주)와이비엠(33.17),466.,대기업,6,"46,817,440,390."
(주)금화피에스시,900.,900.,"5,400,000,000.","5,400,000,000.",366.03,5.49,,"165,301,663,000.",.13,-13.18,22.80,"19,685,613,000.",366.03,"174,993,150,000.",9.53,"213,928,060.0",김성기(16.90),868.,대기업,2,"257,400,000,000."
(주)오디텍,126.06,94.98,"1,115,724,000.","1,115,724,000.","1,258.12",3.52,8.86,"91,807,847,000.",.44,-15.14,4.56,"4,545,499,000.","1,389.56","44,973,784,000.",-0.35,"207,252,460.0",박병근(12.69),249.,중소기업,2,"99,258,846,050."
(주)네오티스,239.51,238.6,"2,627,847,000.","2,627,847,000.",99.69,3.06,10.76,"7,645,484,000.",.11,8.24,70.38,"-7,269,754,000.",113.59,"43,473,210,000.",-17.89,"199,418,390.0",권은영(29.28),208.,중소기업,5,"54,517,706,100."
(주)캐스텍코리아,127.18,97.83,"1,210,484,000.","1,210,484,000.",90.81,2.66,8.59,"88,307,534,000.",.35,-3.41,122.45,"3,436,728,000.",110.66,"152,504,970,000.",2.31,"436,976,990.0",윤상원(14.02),305.,중소기업,6,"53,884,802,595."
크로바하이텍(주),-,-,,,92.03,3.82,5.99,"8,111,477,000.",.6,-2.54,74.06,"-1,079,678,000.",132.29,"51,224,613,000.",-6.81,"379,441,580.0",송한준(21.43),85.,중소기업,6,"64,155,000,000."
(주)아이오케이컴퍼니,-,-,,,231.48,6.57,73.19,"-7,410,561,000.",.83,34.67,21.42,"-4,103,066,000.",237.62,"18,156,364,000.",-11.42,"224,152,640.0",(주)더블유홀딩컴퍼니(23.86),37.,중소기업,5,"61,120,232,200."
아이크래프트(주),87.58,81.65,"657,615,000.","657,615,000.",184.65,4.95,12.62,"30,585,171,000.",.65,14.29,65.28,"2,009,733,000.",208.45,"90,680,419,000.",-4.20,"671,706,810.0",박우진(17.62),140.,중소기업,4,"49,773,522,240."
코리아오토글라스(주),400.,700.,"14,000,000,000.","14,000,000,000.",101.,7.16,9.28,"218,196,809,000.",.45,1.37,64.62,"44,750,740,000.",129.44,"444,815,394,000.",13.99,"717,444,180.0",정몽익(25.00),625.,대기업,4,"336,000,000,000."
(주)하이텍팜,150.,100.,"708,878,000.","708,878,000.",141.26,3.44,7.18,"73,606,024,000.",.68,20.45,16.54,"2,099,708,000.",191.45,"66,049,818,000.",1.0,"680,925,960.0",ACS Dobfar s.p.a(39.57),95.,대기업,3,"83,647,627,600."
(주)서울제약,15.,15.,"125,768,000.","125,768,000.",192.98,1.73,8.74,"18,298,355,000.",.84,1.59,61.42,"881,444,000.",219.67,"46,652,242,000.",28.02,"223,216,470.0",황우성(20.69),182.,중소기업,6,"91,810,745,850."
도이치모터스(주),-,-,,,46.96,65.86,13.37,"39,123,853,000.",.69,42.43,363.59,"5,420,388,000.",72.07,"933,119,638,000.",21.54,"1,028,797,840.0",권오수(27.73),965.,대기업,8,"150,488,754,840."
텔코웨어(주),289.95,336.34,"3,263,447,000.","3,263,447,000.",959.51,14.71,,"98,269,278,000.",.2,1.24,10.49,"5,307,283,000.",959.51,"41,401,581,000.",2.44,"219,055,980.0",금한태(21.36),185.,중소기업,2,"116,917,607,300."
경남제약(주),-,-,,,74.29,2.38,7.90,"-1,291,614,000.",.53,1.04,252.43,"-3,478,499,000.",91.29,"40,171,227,000.",-9.32,"187,716,010.0",이희철(20.84),243.,중소기업,6,"118,670,366,800."
옵티시스(주),43.4,60.76,"342,456,000.","342,456,000.",583.96,7.42,4.36,"26,489,521,000.",.47,4.70,11.95,"1,703,708,000.",692.86,"17,931,058,000.",4.63,"186,781,850.0",신현국(14.07),99.,중소기업,3,"37,423,040,000."
두산인프라코어(주),-,-,,,43.39,7.14,8.75,"37,060,111,000.",.95,20.25,275.35,"60,471,573,000.",57.42,"2,651,329,093,000.",-25.37,"1,034,866,940.0",두산중공업(주)(36.30),"2,826.",대기업,8,"1,807,498,822,470."
대우조선해양(주),-,-,,,96.7,2.09,12.91,"-777,526,301,000.",3.15,-6.60,301.70,"739,144,217,000.",108.68,"10,634,033,270,000.","1,048.52","1,039,901,550.0",한국산업은행(56.01),"9,780.",대기업,8,"1,459,900,445,100."
(주)네오팜,331.86,474.08,"3,537,252,000.","3,537,252,000.",435.28,8.78,12.24,"34,320,645,000.",.87,26.73,18.69,"12,152,804,000.",488.34,"53,553,213,000.",24.62,"514,934,740.0",(주)잇츠한불(30.95),127.,중소기업,3,"351,797,324,550."
(주)디엠에스,49.95,49.95,"1,145,738,000.","1,145,738,000.",104.39,2.52,117.01,"74,305,648,000.",1.05,7.05,108.28,"7,232,563,000.",106.49,"265,966,852,000.",5.40,"1,284,864,020.0",박용석(22.12),195.,대기업,6,"154,139,912,640."
(주)아톤,,,,,300.13,9.25,60.06,"3,923,137,000.",,44.86,127.13,"644,607,000.",313.77,"23,807,350,000.",11.89,"340,105,000.0",,75.,중소기업,5,
(주)휴비스,286.18,286.18,"9,873,096,000.","9,873,096,000.",47.58,7.85,9.74,"173,810,111,000.",.29,15.60,113.93,"13,939,621,000.",78.31,"993,521,047,000.",0.91,"936,400,610.0",(주)삼양홀딩스(25.50),880.,대기업,5,"348,450,000,000."
(주)동원F&B,"2,500.","2,500.","9,647,810,000.","9,647,810,000.",91.53,10.47,6.81,"396,157,845,000.",.41,7.11,102.46,"32,055,092,000.",196.39,"1,569,204,857,000.",4.87,"496,898,310.0",(주)동원엔터프라이즈(71.25),"3,073.",대기업,4,"903,035,016,000."
(주)필링크,-,-,,,25.86,3.21,,"12,164,057,000.",.72,-14.05,76.79,"369,813,000.",25.86,"14,117,475,000.",145.03,"294,114,060.0",(주)젬백스테크놀러지(19.76),80.,중소기업,8,"183,862,938,030."
(주)인터로조,178.84,309.53,"3,266,610,000.","3,161,236,000.",323.53,2.08,5.52,"93,517,722,000.",.5,8.19,17.55,"19,593,544,000.",412.95,"80,252,135,000.",13.26,"161,148,870.0",노시철(29.36),537.,중소기업,2,"418,647,600,000."
(주)엔텔스,-,-,,,163.8,4.75,130.57,"20,978,071,000.",.55,-17.05,43.24,"-4,022,914,000.",165.83,"46,726,874,000.",-9.44,"202,280,840.0",심재희(19.43),244.,중소기업,5,"99,693,830,150."
(주)웹젠,-,-,,,549.13,6.24,"1,948.40","154,399,195,000.",1.52,-24.71,18.70,"32,449,341,000.",549.47,"159,153,331,000.",12.67,"283,695,780.0",김병관(26.72),572.,대기업,3,"1,378,890,020,200."
(주)가비아,28.89,28.89,"391,060,000.","391,060,000.",87.26,19.55,,"40,739,522,000.",.58,5.94,36.35,"2,493,743,000.",87.26,"52,365,659,000.",4.95,"190,420,580.0",김홍국(18.30),274.,중소기업,3,"79,454,465,080."
아미코젠(주),-,-,,,972.09,2.26,4.78,"23,251,653,000.",1.63,-14.94,4.25,"-4,709,465,000.","1,180.95","20,152,794,000.",10.07,"140,928,630.0",신용철(16.02),180.,중소기업,5,"458,197,301,250."
자이에스앤디(주),,,,,212.59,3.98,195.20,"15,245,077,000.",.39,52.66,237.37,"8,411,367,000.",214.55,"141,725,331,000.",14.22,"94,044,680.0",지에스건설(주)(85.61),"2,940.",대기업,5,
한국유나이티드제약(주),228.38,274.06,"4,441,725,000.","4,441,725,000.",187.36,4.20,6.41,"195,358,567,000.",.16,11.37,31.79,"27,863,651,000.",254.82,"197,023,264,000.",13.70,"239,105,900.0",강덕영(27.99),833.,대기업,2,"493,512,954,900."
(주)세진중공업,100.,30.,"1,151,182,000.","1,151,182,000.",31.7,9.16,4.77,"125,142,068,000.",.76,-41.30,121.40,"1,770,236,000.",52.07,"250,893,275,000.",-1.0,"796,486,590.0",윤종국(33.64),325.,대기업,7,"108,211,070,400."
(주)아이마켓코리아,440.43,349.44,"12,165,419,000.","12,165,419,000.",147.2,4.91,46.39,"251,654,366,000.",.69,-13.97,94.22,"14,571,721,000.",162.60,"2,307,870,564,000.",-1.32,"5,039,018,700.0",(주)인터파크홀딩스(40.01),441.,대기업,5,"323,849,493,400."
(주)오킨스전자,-,-,,,65.35,6.52,5.65,"5,609,606,000.",.85,59.03,134.64,"-642,806,000.",92.99,"37,111,838,000.",-1.32,"255,943,710.0",전진국(20.15),119.,중소기업,8,"26,505,000,000."
덕산하이메탈(주),-,-,,,929.63,8.71,9.12,"161,102,924,000.",.73,5.24,3.69,"1,815,536,000.","1,036.74","45,074,162,000.",1.48,"273,176,740.0",덕산홀딩스(주)(34.88),180.,중소기업,3,"181,520,822,990."
씨제이프레시웨이(주),200.,200.,"2,374,317,000.","2,374,317,000.",78.78,6.04,14.70,"44,099,720,000.",.53,3.17,349.40,"-5,778,128,000.",100.70,"1,797,612,569,000.",-4.06,"507,083,940.0",CJ(주)(47.11),"7,022.",대기업,6,"472,489,122,800."
효성아이티엑스(주),194.54,486.91,"6,067,025,000.","6,067,025,000.",75.82,8.77,69.01,"22,745,851,000.",.58,15.56,144.91,"8,640,062,000.",84.73,"379,829,861,000.",17.36,"50,542,900.0",조현준(37.91),"6,492.",대기업,5,"145,633,320,000."
(주)이엠넷,20.,30.,"334,141,000.","334,141,000.",335.01,1.46,,"25,534,981,000.",.79,3.50,35.33,"2,692,632,000.",335.01,"19,368,550,000.",10.16,"76,859,330.0",김영원(32.65),319.,중소기업,3,"46,167,171,655."
(주)머큐리,,,,,108.12,5.58,7.09,"653,677,000.",1.67,14.25,117.12,"4,442,895,000.",173.48,"138,329,548,000.",12.94,"804,241,560.0",(주)아이즈비전(100.0),194.,대기업,6,
진양화학(주),75.,-,,,127.96,5.88,19.07,"18,291,643,000.",.56,-13.92,40.74,"-338,315,000.",159.87,"49,592,413,000.",-4.23,"511,261,990.0",(주)진양홀딩스(65.36),92.,중소기업,5,"27,420,000,000."
(주)대우건설,-,-,,,86.73,3.23,17.0,"-133,943,381,000.",.97,3.35,272.34,"222,793,964,000.",96.15,"11,332,055,896,000.",9.99,"1,952,456,220.0",케이디비밸류제육호(50.75),"5,395.",대기업,6,"2,460,486,016,960."
(주)포스코인터내셔널,500.,500.,"61,687,446,000.","61,687,446,000.",89.23,6.02,38.32,"1,601,370,359,000.",.85,35.51,194.77,"150,380,940,000.",106.77,"20,891,525,634,000.",14.18,"11,130,274,710.0",(주)포스코(62.90),"1,923.",대기업,6,"2,239,258,954,350."
(주)상보,-,-,,,65.75,2.76,3.58,"-17,373,655,000.",.81,-43.30,170.86,"-7,337,682,000.",92.47,"67,228,622,000.",-12.02,"309,809,320.0",김상근(20.77),166.,중소기업,9,"49,680,084,210."
한솔시큐어(주),-,-,,,952.33,4.67,10.10,"7,519,464,000.",.39,-7.52,10.27,"5,397,642,000.",974.95,"15,108,650,000.",92.99,"251,810,830.0",한솔인티큐브(주)(27.18),52.,중소기업,4,"43,459,836,600."
(주)뉴로스,-,-,,,147.82,1.15,2.56,"12,157,631,000.",.61,-1.62,103.29,"-5,593,504,000.",186.91,"42,061,542,000.",5.66,"271,364,790.0",김승우(15.76),136.,중소기업,7,"84,165,357,920."
(주)나노신소재,99.7,128.2,"1,390,783,000.","1,390,783,000.",779.02,4.16,1.50,"40,820,755,000.",1.26,10.84,7.29,"6,795,716,000.","1,569.87","45,568,866,000.",6.86,"237,337,840.0",박장우(24.71),219.,중소기업,2,"185,506,494,300."
(주)엔에스,100.,-,,,43.49,3.97,1.83,"11,931,066,000.",.68,35.05,155.25,"421,263,000.",133.07,"36,244,854,000.",-0.29,"421,451,790.0",이세용(38.75),112.,중소기업,7,"86,975,000,000."
(주)유니온커뮤니티,-,67.43,"989,792,000.","989,792,000.",213.21,2.74,4.68,"8,501,887,000.",.69,-7.24,55.77,"1,877,413,000.",299.80,"37,074,380,000.",-0.68,"319,606,720.0",신요식(20.68),120.,중소기업,5,"44,183,811,070."
씨큐브(주),105.06,114.05,"918,168,000.","918,168,000.",105.72,4.83,2.16,"32,116,984,000.",.59,6.05,39.20,"3,785,971,000.",226.51,"40,171,642,000.",9.91,"255,870,330.0",장길완(21.55),169.,중소기업,3,"62,678,991,600."
(주)이퓨쳐,-,-,,,880.86,1.87,3.51,"8,570,871,000.",.69,0.70,19.27,"-579,692,000.","1,102.70","8,584,772,000.",-2.66,"178,849,420.0",이기현(23.79),48.,중소기업,3,"28,997,040,000."
(주)에스앤에스텍,-,50.,"986,767,000.","986,767,000.",147.16,5.73,6.79,"31,240,057,000.",.9,-0.21,54.37,"3,131,678,000.",192.90,"53,899,317,000.",4.28,"306,246,120.0",정수홍(22.14),195.,중소기업,5,"85,059,276,610."
(주)서플러스글로벌,,75.,"1,387,050,000.","1,387,050,000.",124.82,108.15,1.60,"72,129,520,000.",.67,10.34,38.37,"19,531,124,000.",394.11,"109,876,116,000.",95.98,"2,073,134,260.0",김정웅(34.68),53.,중소기업,4,"138,520,060,000."
현대오토에버(주),,,"14,250,170,000.","14,250,170,000.",180.97,3.06,,"368,927,086,000.",,1.61,85.18,"52,087,818,000.",180.97,"1,158,657,343,000.",12.19,"640,142,180.0",,"1,988.",대기업,3,
메디포스트(주),-,-,,,731.17,9.53,6.0,"-27,483,266,000.",1.11,47.45,37.51,"-1,319,216,000.",876.34,"42,249,905,000.",-1.23,"202,152,660.0",양윤선(6.37),226.,중소기업,5,"919,435,257,000."
에스엔유프리시젼(주),-,-,,,272.43,1.77,104.21,"-23,120,980,000.",.89,100.85,57.27,"5,746,382,000.",274.31,"116,215,632,000.",6.21,"599,049,650.0",(주)에스에프에이(31.02),138.,중소기업,5,"121,250,000,000."
이트론(주),-,-,,,"1,076.9",1.82,9.15,"-1,863,753,000.",.49,-35.56,9.0,"-1,863,753,000.","1,094.33","15,563,155,000.",-3.46,"648,464,790.0",(주)이아이디(8.85),42.,중소기업,4,"53,318,627,544."
(주)홈캐스트,-,-,,,278.63,1.67,5.84,"19,389,685,000.",1.68,-66.47,15.39,"-24,238,901,000.",302.45,"40,919,825,000.",-20.24,"730,711,160.0",(주)에이치바이온(4.88),52.,중소기업,4,"468,813,993,150."
(주)이엠따블유,-,-,,,92.45,2.06,4.36,"-9,431,418,000.",.79,-31.04,106.01,"177,202,000.",106.28,"37,020,656,000.",8.60,"151,104,720.0",류병훈(20.92),260.,중소기업,6,"92,485,068,975."
(주)케이티스카이라이프,412.76,348.11,"16,647,174,000.","16,647,174,000.",175.28,4.67,232.34,"302,435,806,000.",.19,3.47,34.47,"55,181,095,000.",177.55,"646,816,149,000.",6.13,"1,942,390,840.0",(주)케이티(49.99),362.,대기업,4,"643,205,442,700."
(주)뷰웍스,199.52,198.71,"1,987,490,000.","1,987,490,000.",682.81,5.03,5.72,"117,363,952,000.",.78,5.27,8.72,"18,683,631,000.",880.62,"122,607,323,000.",13.39,"457,490,010.0",김후식(14.56),284.,중소기업,1,"409,076,278,500."
(주)에이비프로바이오,-,-,,,99.02,1.20,1.20,"41,226,823,000.",.48,-43.07,50.72,"-13,507,026,000.",151.70,"24,935,559,000.",-11.88,"280,174,820.0",(주)딜던쉐어즈(11.68),83.,중소기업,6,"85,963,771,425."
지스마트글로벌(주),-,-,,,144.34,2.30,27.25,"38,692,865,000.",1.24,6.65,52.67,"13,965,909,000.",148.35,"96,155,431,000.",27.36,"850,933,020.0",지스마트(주)(19.78),35.,중소기업,4,"277,697,536,650."
(주)넥스턴,137.65,146.93,"1,740,579,000.","1,740,579,000.","2,581.81",4.98,6.83,"46,582,099,000.",1.07,-41.23,3.26,"6,779,440,000.","2,781.54","43,707,618,000.",2.08,"624,394,540.0",(주)대호테크(33.50),70.,중소기업,3,"159,335,694,000."
(주)파수닷컴,-,-,,,120.71,2.30,,"-2,019,262,000.",.2,38.0,166.43,"2,557,816,000.",120.71,"29,207,523,000.",22.06,"116,830,090.0",조규곤(25.56),198.,중소기업,7,"43,644,845,200."
(주)LG화학,"4,972.86","5,859.56","460,058,000,000.","460,058,000,000.",141.36,6.14,10.85,"13,188,495,000,000.",1.21,20.94,36.39,"1,605,223,000,000.",187.89,"20,880,236,000,000.",15.06,"1,240,434,620.0",(주)LG(33.34),"20,125.",대기업,2,"30,504,410,115,000."
(주)LG생활건강,"7,039.76","8,447.71","150,909,218,000.","150,909,218,000.",78.47,10.22,12.98,"2,243,210,116,000.",.6,1.54,47.72,"595,658,910,000.",111.80,"3,717,359,563,000.",25.79,"849,876,440.0",(주)LG(34.03),"4,512.",대기업,2,"20,035,624,739,000."
메가스터디(주),688.85,688.85,"2,766,634,000.","2,766,634,000.",462.99,2.26,6.18,"194,708,889,000.",.28,-11.05,8.52,"-885,500,000.",499.41,"27,930,404,000.",-1.56,"276,538,650.0",손주은(27.46),114.,대기업,5,"126,914,795,600."
엘컴텍(주),49.98,39.98,"3,376,256,000.","3,376,256,000.",220.81,4.57,13.0,"11,412,856,000.",.94,-22.72,6.76,"7,450,573,000.",301.62,"49,915,378,000.",4.11,"723,411,280.0",(주)파트론(57.57),49.,대기업,2,"184,940,066,610."
(주)파인넥스,-,-,,,125.38,1.21,3.84,"-100,694,009,000.",.7,38.64,125.38,"-16,781,718,000.",142.89,"17,405,689,000.",54.77,"341,288,020.0",이희춘(8.76),13.,중소기업,8,"36,589,984,200."
(주)모아텍,-,-,,,543.93,1.07,3.51,"73,731,601,000.",.45,,11.70,"-3,664,220,000.",588.84,"13,525,263,000.",,"131,313,230.0",MINEBEAMITSUMI.INC(50.85),90.,중소기업,4,"78,534,893,800."
(주)쎄미시스코,28.65,48.79,"263,466,000.","263,466,000.",204.41,4.91,6.85,"19,576,627,000.",.77,99.92,28.19,"2,948,466,000.",241.56,"25,018,220,000.",10.87,"284,297,950.0",이순종(33.75),103.,중소기업,3,"76,680,000,000."
(주)픽셀플러스,89.66,86.27,"704,569,000.","704,569,000.","2,048.05",51.90,5.43,"96,832,285,000.",.67,-25.30,3.54,"-2,215,924,000.","2,319.58","54,863,317,000.",-5.81,"425,297,030.0",이서규(23.39),116.,중소기업,5,"81,665,580,000."
(주)디엔에프,-,291.64,"3,138,548,000.","3,138,548,000.",218.29,23.30,5.19,"51,438,721,000.",1.01,27.75,25.44,"13,231,627,000.",322.19,"74,380,663,000.",14.55,"339,637,730.0",김명운(18.27),218.,중소기업,2,"156,046,506,000."
(주)토비스,154.82,155.97,"2,607,279,000.","2,607,279,000.",155.38,6.98,9.23,"124,092,225,000.",.53,15.02,42.60,"13,300,369,000.",223.56,"523,988,615,000.",7.39,"2,015,340,830.0",김용범(8.53),289.,대기업,4,"131,396,075,880."
(주)에프알텍,-,-,,,91.12,4.61,6.59,"30,600,969,000.",.81,6.05,69.92,"-2,084,797,000.",136.93,"23,253,122,000.",-5.23,"298,116,950.0",남재국(36.12),56.,중소기업,7,"35,340,000,000."
(주)미코,-,-,,,106.38,6.92,8.23,"5,593,862,000.",.99,43.44,66.83,"5,593,862,000.",140.37,"71,147,376,000.",21.97,"216,912,730.0",전선규(16.10),378.,중소기업,4,"125,579,578,030."
(주)코디엠,-,-,,,406.81,6.77,9.27,"1,449,680,000.",1.05,56.27,9.37,"1,921,380,000.",486.72,"68,893,805,000.",272.27,"782,884,150.0",케이바이오투자조합(8.64),57.,중소기업,4,"107,571,592,872."
(주)아이엠비씨,45.,-,,,191.35,7.50,,"32,006,657,000.",.32,-16.07,19.68,"-78,643,000.",191.35,"50,649,210,000.",-1.82,"422,076,750.0",(주)문화방송(58.13),99.,대기업,3,"75,670,000,000."
(주)이수앱지스,-,-,,,349.14,5.93,1.28,"-54,992,548,000.",.54,2.12,25.33,"-8,729,138,000.",505.99,"19,458,890,000.",43.47,"141,006,450.0",(주)이수화학(31.72),161.,대기업,6,"219,151,109,140."
(주)코스온,-,-,,,175.36,3.13,3.36,"11,163,452,000.",1.1,10.78,82.43,"546,503,000.",280.54,"85,620,455,000.",16.18,"345,243,770.0",이동건(13.82),261.,중소기업,6,"200,233,889,700."
(주)디엔에이링크,-,-,,,997.35,3.44,6.09,"-25,521,628,000.",1.1,36.29,6.28,"1,361,306,000.","1,144.75","14,179,692,000.","2,340.65","248,766,530.0",에이티넘고성장기업투자조합(20.76),70.,중소기업,4,"62,279,240,000."
우리손에프앤지농업회사법인(주),-,-,,,95.55,25.45,5.20,"44,669,393,000.",.4,9.35,31.05,"9,154,657,000.",159.28,"82,809,120,000.",8.02,"684,372,890.0",(주)이지바이오(43.78),130.,대기업,5,"162,708,461,050."
현대글로비스(주),"3,000.","3,000.","112,500,000,000.","112,500,000,000.",107.37,8.64,19.85,"3,288,507,549,000.",.25,6.01,98.89,"634,965,373,000.",137.44,"12,986,175,114,000.",16.76,"10,867,092,150.0",정의선(23.29),"1,379.",대기업,3,"5,100,000,000,000."
(주)디지캡,-,-,,,368.52,5.38,,"8,280,040,000.",1.02,45.54,83.24,"2,044,960,000.",368.52,"16,310,645,000.",68.23,"171,691,000.0",신용태(22.62),105.,중소기업,4,"16,051,727,290."
(주)바이오톡스텍,-,-,,,49.6,5.10,35.26,"-632,619,000.",.57,10.11,95.01,"1,475,312,000.",52.23,"22,351,893,000.",7.85,"118,263,980.0",강종구(14.04),204.,중소기업,6,"101,832,983,460."
(주)위메이드,592.97,594.11,"9,980,998,000.","9,980,998,000.",455.94,3.66,,"169,582,526,000.",1.03,-20.94,14.03,"9,796,957,000.",455.94,"43,973,609,000.",-0.45,"955,948,020.0",박관호(46.77),59.,대기업,4,"846,720,000,000."
크리스탈지노믹스(주),-,-,,,197.81,1.95,20.36,"-97,404,667,000.",2.01,-23.68,30.57,"-8,575,453,000.",200.84,"8,492,032,000.",10.30,"141,533,870.0",조중명(10.01),201.,중소기업,6,"615,201,261,250."
(주)셀트리온제약,25.,10.,"333,288,000.",,114.95,1.26,1.80,"-22,546,978,000.",1.89,27.53,60.66,"2,778,955,000.",167.23,"129,529,518,000.",-15.24,"218,430,890.0",(주)셀트리온(55.12),638.,대기업,6,"2,040,395,576,400."
(주)제로투세븐,-,-,,,111.23,8.86,3.62,"-6,934,422,000.",1.12,-13.48,235.65,"-12,902,408,000.",255.09,"164,646,626,000.",-33.84,"853,091,330.0",매일홀딩스(주)(34.74),238.,대기업,6,"60,221,000,000."
(주)에스모머티리얼즈,-,-,,,229.02,6.57,9.35,"6,439,085,000.",.64,-10.74,57.63,"-2,110,772,000.",279.36,"16,336,622,000.",-12.80,"179,523,320.0",(주)네패스(31.47),77.,중소기업,6,"32,747,000,000."
호전실업(주),,140.69,"1,221,803,000.","1,221,803,000.",185.88,9.31,25.69,"72,273,437,000.",.42,4.03,63.52,"-11,337,423,000.",203.94,"302,884,949,000.",21.21,"2,005,860,590.0",박진호(22.49),136.,대기업,6,"104,800,000,000."
(주)엘앤에프,41.94,84.79,"2,083,921,000.","2,083,921,000.",87.92,11.16,5.56,"29,483,751,000.",1.12,64.22,87.99,"20,802,485,000.",180.51,"359,393,986,000.",39.92,"798,653,300.0",(주)새로닉스(16.41),590.,대기업,6,"1,051,934,933,200."
(주)큐에스아이,-,49.27,"407,880,000.","407,880,000.",796.99,4.69,4.29,"32,647,642,000.",.8,2.76,5.42,"1,130,056,000.",990.71,"22,628,380,000.",0.93,"175,413,800.0",(주)삼화양행(29.82),113.,중소기업,2,"51,904,502,100."
유앤아이(주),-,-,,,822.25,0.84,1.44,"905,404,000.",1.27,-29.25,37.21,"-5,212,913,000.","1,015.48","12,561,348,000.",-5.41,"98,135,530.0",구자교(19.92),131.,중소기업,5,"96,033,025,000."
(주)이루온,-,-,,,130.04,2.54,,"-9,499,018,000.",.86,-43.73,87.61,"-2,169,643,000.",130.04,"11,485,313,000.",-8.44,"119,638,680.0",이승구(21.03),75.,중소기업,7,"39,333,176,500."
(주)안트로젠,-,-,,,573.95,2.86,10.99,"-7,011,043,000.",1.,9.42,24.74,"446,738,000.",582.51,"5,357,319,000.",36.98,"140,982,080.0",부광약품(주)(20.12),48.,중소기업,5,"365,867,026,000."
(주)이상네트웍스,48.99,97.99,"883,403,000.","883,403,000.",299.04,6.09,6.91,"41,354,668,000.",.67,22.36,10.32,"5,604,004,000.",381.59,"39,909,808,000.",7.86,"411,441,320.0",(주)황금에스티(24.83),51.,중소기업,2,"78,610,800,000."
(주)옵티팜,,,,,80.53,12.32,14.08,"-13,317,181,000.",.69,-3.61,55.17,"-1,566,890,000.",97.94,"13,857,114,000.",-5.27,,기타(39.02),64.,중소기업,7,
(주)아이에스이커머스,-,-,,,289.26,4.54,25.51,"22,408,975,000.",.06,48.32,28.31,"37,812,403,000.",291.12,"36,484,877,000.",95.13,"429,233,850.0",(주)아이에스이네트워크(30.08),64.,중소기업,4,"94,529,714,565."
(주)아이컴포넌트,-,-,,,104.76,5.63,4.83,"2,678,720,000.",.9,-54.27,70.39,"-8,303,058,000.",129.57,"24,520,294,000.",-19.42,"250,207,080.0",김양국(23.09),79.,중소기업,7,"53,031,450,000."
(주)슈프리마에이치큐,-,-,,,"1,649.45",2.70,6.08,"99,265,371,000.",.49,-32.59,3.68,"3,838,515,000.","1,733.73","18,014,490,000.",3.01,"360,289,800.0",이재원(31.58),30.,중소기업,4,"59,375,332,800."
코위버(주),66.78,95.4,"934,646,000.","934,646,000.",241.69,3.02,3.82,"72,327,708,000.",.78,-7.53,24.43,"6,695,395,000.",310.74,"54,279,995,000.",7.35,"414,351,110.0",황인환(16.82),151.,중소기업,3,"79,843,920,000."
아이쓰리시스템(주),445.66,268.62,"1,841,513,000.","1,841,513,000.",179.02,6.70,3.69,"35,965,945,000.",.38,36.19,34.28,"9,358,904,000.",300.32,"69,607,526,000.",14.78,"228,221,400.0",정한(38.06),304.,중소기업,3,"150,820,120,000."
(주)웨이브일렉트로닉스,-,-,,,32.02,2.98,6.30,"-9,129,530,000.",1.03,10.90,90.17,"1,208,773,000.",52.29,"32,681,562,000.",11.92,"206,845,330.0",박천석(18.65),129.,중소기업,7,"226,408,125,000."
(주)나스미디어,390.,690.,"6,040,737,000.","6,040,737,000.",142.87,0.66,,"67,966,467,000.",.67,36.49,106.79,"20,237,979,000.",142.87,"84,283,178,000.",17.93,"263,384,930.0",(주)케이티(42.75),352.,대기업,4,"652,224,479,500."
이엘케이(주),-,-,,,48.76,7.13,8.69,"-116,332,577,000.",.4,42.80,232.52,"-9,126,545,000.",81.37,"249,605,814,000.",77.31,"667,395,220.0",신동혁(10.97),101.,대기업,9,"55,122,115,850."
영화테크(주),,100.,"534,509,000.","534,509,000.",388.22,4.18,13.30,"31,169,741,000.",.43,-2.65,23.80,"5,394,569,000.",428.95,"50,786,246,000.",48.49,"357,649,620.0",엄준형(43.64),115.,중소기업,3,"95,142,602,000."
(주)에스에너지,101.49,46.67,"616,499,000.","616,499,000.",153.39,1.81,29.04,"44,929,225,000.",.49,-29.39,126.55,"-4,135,901,000.",158.08,"198,474,507,000.",7.43,"1,188,470,100.0",홍성민(16.29),157.,대기업,7,"97,875,133,200."
