,2015/Annual,2016/Annual,2016/Annual,2016/Annual,2016/Annual,2016/Annual,2016/Annual,2016/Annual,2016/Annual,2016/Annual,2016/Annual,2016/Annual,2016/Annual,2016/Annual,2016/Annual,2016/Annual,2016,,,2016,2016/Annual
(주)서울리거,-,-,,,780.28,2.31,31.79,"-1,209,821,000.00",0.29,"2,452.26",9.42,"-1,818,892,000.00",816.2,"18,250,443,000.00",178.82,"207,391,400.00",(주)서울리거파트너스(6.08),19,중소기업,5,"127,114,154,160.00"
(주)대한과학,49.99,39.99,"286,168,000.00","286,168,000.00",86.49,5.35,3.38,"11,084,982,000.00",1.29,3.54,57.8,"1,321,680,000.00",191.23,"38,812,724,000.00",5.16,"308,037,490.00",서정구(8.76),123,중소기업,4,"46,372,700,880.00"
(주)코맥스,59.06,59.08,"811,417,000.00","676,181,000.00",102.33,3.69,6.59,"30,546,714,000.00",1.11,14.17,77.44,"8,404,401,000.00",152.68,"130,828,797,000.00",15.71,"635,091,250.00",변봉덕(23.94),191,대기업,3,"88,856,469,640.00"
(주)해덕파워웨이,98.03,98.03,"997,349,000.00","997,349,000.00",174.64,9.34,5.56,"84,307,787,000.00",0.27,-13.57,66.72,"1,720,976,000.00",185.71,"55,364,138,000.00",0.75,"564,940,180.00",구재고(51.26),88,중소기업,6,"56,971,516,000.00"
(주)인팩,140,150,"1,500,000,000.00","1,500,000,000.00",114.83,4.78,20.76,"77,986,414,000.00",0.41,5.22,62.14,"7,273,851,000.00",132.71,"148,817,345,000.00",7.43,"377,709,000.00",최오길(20.00),331,대기업,2,"66,900,000,000.00"
(주)포메탈,29.43,39.41,"473,889,000.00","473,889,000.00",129.94,5.8,11.16,"27,412,171,000.00",0.73,1.95,36.97,"1,882,009,000.00",177.48,"45,817,287,000.00",4.48,"360,766,040.00",오세원(13.72),131,중소기업,4,"50,623,902,800.00"
(주)미래컴퍼니,88.49,150.44,"1,152,470,000.00","1,152,470,000.00",188.85,2.28,14.95,"47,713,105,000.00",0.86,33.17,38.1,"6,488,535,000.00",209.08,"74,306,879,000.00",9.03,"292,546,770.00",김준구(23.24),325,중소기업,5,"148,620,063,200.00"
(주)에스제이엠홀딩스,181.49,181.49,"2,710,398,000.00","2,710,398,000.00","2,254.53",,,"110,684,145,000.00",0.66,-20.04,10.48,"5,673,839,000.00","2,254.53","9,830,720,000.00",3.54,"1,966,144,000.00",김휘중(51.05),5,중소기업,3,"77,955,521,760.00"
삼지전자(주),-,-,,,80.07,5.38,8.34,"22,548,901,000.00",1.6,38.73,56.48,"840,617,000.00",103.15,"38,461,219,000.00",8.73,"331,562,230.00",이기남(25.11),156,대기업,5,"160,566,828,800.00"
신화인터텍(주),-,49.79,"1,450,555,000.00","1,450,555,000.00",50.53,5.33,12.84,"19,150,035,000.00",1.42,14.96,95.95,"4,064,319,000.00",69.87,"190,661,902,000.00",4.01,"535,567,140.00",(주)효성(15.26),395,대기업,5,"107,071,459,425.00"
(주)파워넷,-,-,,,116.21,11.58,13.07,"5,320,949,000.00",0.81,15.25,96.55,"6,114,247,000.00",164.22,"137,731,491,000.00",29.17,"1,311,728,490.00",청강(주)(92.64),103,중소기업,5,"34,195,855,460.00"
제이엠아이(주),-,-,,,328.85,2.2,16.98,"-1,619,949,000.00",0.9,19.39,15.33,"-9,903,423,000.00",339.94,"16,685,967,000.00",-18.98,"211,214,770.00",제이엠티(주)(15.75),69,중소기업,4,"46,751,355,770.00"
동아화성(주),60,97.4,"1,538,862,000.00","1,538,862,000.00",119.17,2.34,27.09,"67,831,011,000.00",0.54,3.48,74.26,"10,702,984,000.00",127.44,"137,378,722,000.00",11.65,"393,635,310.00",임경식(40.65),365,대기업,4,"76,630,000,000.00"
(주)에쎈테크,-,-,,,84.13,3.64,4.36,"-26,930,812,000.00",1.32,1.27,148.55,"1,804,599,000.00",128.64,"72,916,738,000.00",6.89,"269,065,450.00",(주)대창(34.02),216,대기업,7,"76,680,000,000.00"
(주)코엔텍,24.89,24.89,"1,244,643,000.00","1,244,643,000.00",370.46,7.57,840.64,"74,334,995,000.00",0.89,43.26,42.03,"14,035,871,000.00",370.97,"48,583,970,000.00",14.46,"694,056,710.00",후성에이치디에스(주)(20.29),84,중소기업,2,"146,000,000,000.00"
(주)한국팩키지,20,30,"750,000,000.00","750,000,000.00",234.67,6,8.95,"25,274,647,000.00",0.81,5.61,34.29,"3,074,092,000.00",278.86,"59,078,483,000.00",6.92,"615,400,860.00",한국제지(주)(40.00),100,대기업,4,"118,125,000,000.00"
(주)녹십자셀,-,49.96,"584,316,000.00","584,316,000.00",865.97,10.7,19.94,"3,657,404,000.00",1.18,14.3,6.05,"1,333,289,000.00",909.31,"11,908,637,000.00",2.94,"136,880,890.00",(주)녹십자(25.03),226,중소기업,3,"318,129,540,800.00"
티제이미디어(주),100,60,"835,897,000.00","835,897,000.00",266.88,10.13,4.09,"65,068,288,000.00",0.57,8.84,16.91,"1,381,648,000.00",574.14,"72,789,215,000.00",-0.92,"329,362,960.00",김우영(21.03),227,중소기업,3,"60,254,208,925.00"
(주)와이티엔,-,15,"630,000,000.00","630,000,000.00",78.37,3.26,291.65,"68,177,038,000.00",0.76,11.3,69.83,"3,378,925,000.00",79.03,"130,687,699,000.00",3.4,"197,115,680.00",한전케이디엔(주)(21.43),661,대기업,6,"104,160,000,000.00"
국일신동(주),45.67,45.67,"506,500,000.00","506,500,000.00",561.06,3.31,3.89,"32,955,572,000.00",0.25,-7.9,17.49,"382,725,000.00",773.78,"27,699,446,000.00",-0.37,"477,576,660.00",손인국(42.27),61,중소기업,4,"46,300,750,000.00"
(주)뉴프렉스,-,-,,,59.48,5.73,5.29,"15,027,119,000.00",1.44,21.41,160.46,"-2,130,864,000.00",116.95,"144,618,199,000.00",-1.48,"365,197,470.00",임우현(36.81),380,대기업,7,"48,358,409,890.00"
(주)동우팜투테이블,49.76,-,,,416.47,10.41,21.22,"114,487,714,000.00",0.87,-1.63,20.62,"12,948,749,000.00",462.71,"235,752,895,000.00",9.56,"518,138,230.00",군산도시가스(주)(24.30),639,대기업,2,"98,617,666,800.00"
(주)코너스톤네트웍스,-,-,,,63.13,2.24,10.16,"-23,762,848,000.00",0.74,246.69,187.15,"-6,068,618,000.00",67.67,"31,094,641,000.00",100.23,"575,826,690.00",김용빈(8.51),34,중소기업,9,"109,091,722,410.00"
(주)형지아이앤씨,15,-,,,37.91,8.92,2.49,"7,186,491,000.00",1.05,9.14,101.22,"-4,437,967,000.00",152.23,"128,267,673,000.00",7.44,"878,545,710.00",최병오(39.52),92,중소기업,7,"67,977,640,660.00"
(주)동아지질,171.96,196.52,"2,260,000,000.00","2,260,000,000.00",143.9,2.96,104.27,"97,748,471,000.00",0.91,10.17,98.8,"10,267,455,000.00",145.86,"322,518,697,000.00",7.14,"886,040,380.00",이정우(30.53),367,대기업,5,"110,400,000,000.00"
(주)나노엔텍,-,-,,,303.26,1.31,4.55,"-16,557,022,000.00",1.03,6.84,72.73,"-17,339,841,000.00",391,"19,928,840,000.00",-43.57,"141,339,290.00",SK텔레콤(주)(28.50),103,대기업,6,"122,680,456,760.00"
(주)비씨월드제약,95.22,115.2,"768,842,000.00","641,740,000.00",177.6,2.61,4.26,"40,036,543,000.00",1.2,10.24,30.52,"6,474,769,000.00",276.57,"45,657,696,000.00",9.61,"162,482,900.00",홍성한(33.40),272,중소기업,3,"170,516,816,400.00"
(주)에버다임,54.28,109.54,"1,962,588,000.00","1,962,588,000.00",111.81,3.7,3.57,"124,562,896,000.00",0.49,0.08,40.79,"9,870,333,000.00",248.47,"299,199,052,000.00",7.01,"731,538,020.00",(주)현대그린푸드(45.17),399,대기업,3,"179,159,440,000.00"
신흥에스이씨(주),,,,,87.77,7.71,19.91,"34,736,482,000.00",0.94,35.1,86.11,"5,551,713,000.00",104.77,"90,111,748,000.00",13.21,"207,153,440.00",최화봉(26.37),"1,613.00",중소기업,5,
(주)룽투코리아,-,-,,,213.19,17.88,,"-26,090,662,000.00",0.9,205.13,94.07,"-427,835,000.00",213.19,"46,230,297,000.00",30.22,"570,744,410.00",LONGTUGAME HK LIMITED(43.37),50,중소기업,6,"173,999,716,920.00"
(주)판타지오,-,-,,,190.93,9.12,275.77,"-37,201,802,000.00",0.96,-32.47,13.83,"-2,352,206,000.00",192.36,"13,667,644,000.00",-5.81,"108,473,370.00",골드파이낸스코리아(주)(27.29),49,중소기업,5,"87,623,890,965.00"
(주)국보디자인,250,243.46,"1,825,983,000.00","1,825,983,000.00",179.66,6.51,,"71,184,299,000.00",0.74,21.54,87.87,"11,905,078,000.00",179.66,"191,620,729,000.00",6.38,"544,377,070.00",황창연(45.86),348,대기업,4,"129,000,000,000.00"
(주)국순당,49.36,49.36,"881,446,000.00","881,446,000.00",640.93,6.25,6.02,"150,051,623,000.00",0.85,-8.71,9.22,"-2,212,642,000.00",755.95,"68,425,801,000.00",-1.57,"221,442,720.00",배중호(36.59),247,중소기업,5,"123,936,629,760.00"
성우전자(주),120,100,"1,550,814,000.00","1,550,814,000.00",794.54,8.14,52.67,"60,672,842,000.00",1.02,-13.62,9.66,"6,883,354,000.00",806.58,"90,917,219,000.00",6.77,"594,230,190.00",조성면(31.81),119,중소기업,3,"77,075,470,710.00"
(주)드래곤플라이,-,-,,,23.33,3.14,,"-11,221,171,000.00",1.03,-33.78,112.31,"-315,661,000.00",23.33,"10,939,185,000.00",37.94,"59,776,970.00",박철우(22.85),58,중소기업,8,"107,763,351,900.00"
(주)라이브플렉스,-,-,,,940.31,14.28,85.07,"21,106,703,000.00",0.61,-5.61,49.59,"17,469,014,000.00",949.52,"34,818,205,000.00",55.62,"1,160,606,830.00",김병진(16.11),30,중소기업,4,"70,964,703,535.00"
(주)듀오백,-,-,,,181.39,7.87,7.4,"20,996,618,000.00",1.01,-6.28,17.1,"-6,232,957,000.00",279.1,"31,983,156,000.00",-15.03,"153,029,450.00",정관영(35.33),129,중소기업,4,"27,945,373,400.00"
대보마그네틱(주),,,,,92.12,8.66,10.54,"961,141,000.00",,61.52,73.54,"1,233,137,000.00",149.98,"5,639,719,000.00",87.23,,,40,중소기업,3,
(주)콤텍시스템,-,-,,,133.63,3.57,15.71,"13,220,574,000.00",1.34,14.11,148.67,"2,542,244,000.00",146.6,"165,814,378,000.00",3.57,"414,535,950.00",남석우(15.92),455,대기업,5,"46,503,140,360.00"
(주)녹원씨엔아이,-,-,,,668.42,1.38,8.91,"-36,666,964,000.00",0.77,-48.25,13.81,"-11,377,390,000.00",735.91,"3,875,841,000.00",-22.5,"149,070,810.00",쏘마그로스투자조합(6.74),89,중소기업,5,"68,715,872,720.00"
(주)케이피엠테크,-,-,,,115.46,2.37,6.23,"-24,913,722,000.00",0.67,-53.31,77.93,"-3,271,474,000.00",134.94,"22,924,013,000.00",411.72,"309,783,960.00",(주)텔콘(15.66),63,중소기업,7,"162,166,930,400.00"
대한뉴팜(주),-,48.89,"701,764,000.00","701,764,000.00",142.76,2.57,9.42,"5,773,040,000.00",0.77,21.25,83.59,"-5,671,317,000.00",174.12,"109,403,129,000.00",-7.77,"355,204,960.00",이완진(34.89),328,중소기업,4,"277,767,702,000.00"
(주)에이치알에스,30,30,"490,644,000.00","490,644,000.00",651.02,4.33,4.55,"56,449,674,000.00",0.78,-5.52,29.34,"3,591,048,000.00",829.4,"53,857,470,000.00",3.12,"356,671,990.00",강성자(23.03),143,중소기업,3,"65,010,330,000.00"
유아이엘(주),523.85,669.28,"7,624,728,000.00","7,624,728,000.00",234.17,5.8,29.17,"98,381,381,000.00",0.44,-13.67,31.29,"10,226,270,000.00",249.77,"249,132,666,000.00",18.95,"572,718,770.00",(주)유아이엘홀딩스(34.82),319,대기업,4,"118,481,688,000.00"
우수AMS(주),-,29.97,"707,083,000.00","707,083,000.00",65.75,7.93,36.88,"24,650,593,000.00",1.43,4.55,134.81,"2,716,913,000.00",74.95,"197,254,061,000.00",50.9,"747,174,470.00",전종인(20.94),286,대기업,6,"88,951,638,230.00"
(주)바이넥스,-,-,,,154.27,3.14,8.55,"-4,289,467,000.00",1.29,21.62,23.27,"-3,111,126,000.00",192.13,"80,924,373,000.00",-2.46,"207,498,390.00",(주)바이넥스홀딩스(8.67),480,중소기업,6,"530,508,693,600.00"
(주)아이에이,-,-,,,97.36,7.31,20.15,"-2,894,344,000.00",0.92,-10.76,58.6,"1,508,735,000.00",124.9,"55,964,170,000.00",87.91,"726,807,400.00",김동진(11.89),61,중소기업,6,"172,236,846,460.00"
(주)이랜텍,75,80,"1,638,256,000.00","1,638,256,000.00",168.38,2.01,42.49,"89,719,251,000.00",1.36,-24.08,53.13,"5,684,104,000.00",176.74,"201,876,266,000.00",22.33,"634,831,030.00",이세용(24.22),279,대기업,5,"119,797,505,100.00"
(주)코미팜,-,-,,,67.27,2.76,3.35,"992,087,000.00",1.48,3.38,63.48,"364,371,000.00",97.87,"37,636,362,000.00",4.69,"232,323,220.00",양용진(29.55),144,중소기업,6,"1,914,161,795,000.00"
(주)에이텍,95.57,100,"826,000,000.00","826,000,000.00",172.93,12.82,13.92,"60,539,718,000.00",0.53,-5.79,36.53,"7,376,920,000.00",232.55,"93,258,776,000.00",14.87,"586,533,180.00",신승영(30.27),142,중소기업,3,"94,990,000,000.00"
하나제약(주),,,"1,023,212,000.00","1,023,212,000.00",128.21,4.05,7.68,"37,845,688,000.00",1.81,14.31,109.93,"17,730,075,000.00",181.08,"124,534,999,000.00",67.35,"273,103,070.00",조동훈 외 특수관계인(78.28),588,대기업,3,
(주)이스트소프트,-,-,,,430.62,2.99,,"27,153,295,000.00",1.31,-21.88,116.17,"-5,271,488,000.00",430.62,"20,524,871,000.00",-13.12,"72,783,230.00",김장중(24.95),185,중소기업,5,"89,985,546,000.00"
(주)이오테크닉스,99.98,99.98,"1,227,777,000.00","1,227,777,000.00",197.39,2.16,3.81,"222,230,457,000.00",1.31,21.98,30.22,"7,037,909,000.00",280.11,"285,077,306,000.00",1.84,"436,565,550.00",성규동(28.40),581,대기업,4,"1,102,800,214,800.00"
(주)파마리서치프로덕트,200,297.95,"2,820,465,000.00","2,820,465,000.00","1,950.28",5.65,9.25,"46,858,939,000.00",1.26,21.66,3.58,"13,909,059,000.00","2,034.18","45,566,681,000.00",9.5,"474,652,930.00",정상수(41.12),186,중소기업,2,"382,435,166,800.00"
(주)유진로봇,-,-,,,75.06,4.4,6.13,"-6,940,356,000.00",1.09,-4.41,91.94,"-6,940,356,000.00",120.04,"36,890,187,000.00",-15.64,"290,473,910.00",신경철(12.58),165,중소기업,7,"92,869,304,080.00"
(주)하나투어,760.32,762.17,"8,853,546,000.00","8,853,546,000.00",88.16,7.11,,"108,295,606,000.00",1.07,7.16,143.09,"9,495,828,000.00",88.16,"385,789,633,000.00",-3.88,"149,241,640.00",박상환(7.83),"2,522.00",대기업,4,"767,829,828,500.00"
(주)에스지엔지,-,-,,,120.65,4.34,19.19,"54,443,368,000.00",1.13,0.81,26.81,"3,549,940,000.00",130.05,"48,507,191,000.00",3.82,"606,339,890.00",이의범(15.61),83,대기업,5,"125,100,009,320.00"
와이더블유(주),-,85.19,"967,337,000.00","967,337,000.00","1,062.20",17,46.56,"58,215,933,000.00",0.66,165.8,35.21,"2,777,540,000.00","1,078.72","29,466,645,000.00",1.1,"1,964,443,000.00",우병일(23.30),19,중소기업,4,"51,099,156,000.00"
(주)엘엠에스,94.62,135.17,"1,202,439,000.00","1,202,439,000.00",181.98,1.22,8.34,"95,363,667,000.00",1.05,-4.85,73.39,"-16,098,701,000.00",199.94,"92,999,722,000.00",-12.37,"268,010,730.00",나우주(22.74),281,중소기업,6,"70,899,167,350.00"
(주)앤씨앤,50,-,,,682.13,37.92,6.44,"34,432,034,000.00",1.1,-3.46,11.81,"2,024,268,000.00",865.24,"60,989,966,000.00",2.23,"508,249,720.00",김경수(22.29),77,중소기업,3,"93,863,550,000.00"
(주)지에스홈쇼핑,"4,921.08","6,507.20","42,703,500,000.00","42,703,500,000.00",224.23,75.07,67.25,"912,970,769,000.00",0.29,-2.4,36.67,"103,492,649,000.00",226.91,"1,065,155,786,000.00",6.31,"1,031,128,540.00",(주)GS(30.00),"1,069.00",대기업,2,"1,128,750,000,000.00"
한국맥널티(주),100,130,"646,750,000.00","646,750,000.00",246.86,8.98,12.55,"18,058,928,000.00",1.61,19.81,36.74,"2,761,662,000.00",283.71,"32,505,046,000.00",8.44,"232,178,900.00",이은정(35.18),152,중소기업,3,"68,903,750,000.00"
(주)비지에프,"1,200.00",800,"39,637,858,000.00","39,637,858,000.00",115.23,1.24,0.03,"768,220,206,000.00",0.87,-99.96,101.45,"167,386,505,000.00",127.03,"1,786,359,000.00",18.98,"952,220.00",홍석조(31.81),119,대기업,5,"4,052,995,725,000.00"
제이더블유생명과학(주),,600,"4,750,366,000.00","4,750,366,000.00",40.53,5.03,9.97,"17,553,077,000.00",4.41,5.01,120.7,"13,943,953,000.00",55.78,"130,083,535,000.00",7.92,"467,926,380.00",JW홀딩스(주)(50.00),277,대기업,5,"216,537,525,950.00"
(주)케이엔엔,250,15.87,"2,102,091,000.00","2,102,091,000.00",279.7,4,"1,732.07","100,482,774,000.00",0.54,-2.16,10.95,"6,743,310,000.00",279.92,"60,448,318,000.00",1.77,"479,748,560.00",(주)넥센(39.32),133,대기업,2,"150,969,880,800.00"
(주)백금티앤에이,-,-,,,139.47,2.82,46.56,"3,066,995,000.00",0.67,-34.72,81.33,"-9,633,521,000.00",142.45,"36,744,298,000.00",-0.59,"874,864,240.00",임학규(25.64),57,중소기업,6,"77,151,112,500.00"
(주)티에스이,-,-,,,385.53,4.44,6.36,"90,510,144,000.00",0.5,-24.27,8.84,"-12,502,316,000.00",486.35,"61,654,193,000.00",-8.69,"158,087,670.00",권상준(35.95),489,대기업,4,"88,491,432,000.00"
(주)대유,,,"1,000,000,000.00","1,000,000,000.00",224.26,11.93,3.96,"15,672,824,000.00",1.45,6.95,42.93,"4,090,658,000.00",328.58,"26,343,963,000.00",67.7,"214,178,560.00",권성한(41.00),134,중소기업,4,
(주)코리아나화장품,39.69,39.69,"1,587,558,000.00","1,587,558,000.00",114.64,7.49,9.06,"25,683,766,000.00",1.54,-11,43.28,"4,036,577,000.00",189.39,"117,715,807,000.00",2.69,"324,285,970.00",유학수(6.24),276,대기업,3,"256,000,000,000.00"
(주)에스폴리텍,-,24.03,"392,547,000.00","392,547,000.00",88.5,4.82,11.59,"24,202,678,000.00",1.09,19.65,114.62,"4,152,970,000.00",107.72,"117,274,954,000.00",6.56,"715,091,180.00",이혁렬(28.38),175,중소기업,6,"47,452,239,590.00"
(주)엔이능률,83.78,63.83,"737,214,000.00","737,214,000.00",272.33,1.85,5.72,"38,189,563,000.00",1.22,0.66,30.24,"5,292,119,000.00",335.65,"53,488,427,000.00",18.85,"197,374,270.00",(주)한국야쿠르트(48.03),351,대기업,2,"74,263,285,000.00"
(주)누리플랜,-,-,,,123.15,3.25,26.28,"9,089,625,000.00",0.51,7.06,82.49,"2,371,420,000.00",131.99,"34,411,741,000.00",12.33,"458,823,210.00",이상우(42.86),78,중소기업,6,"26,741,088,870.00"
(주)알에프텍,50,-,,,298.91,6.54,26.38,"83,558,938,000.00",1.12,-22.65,24.15,"-1,397,722,000.00",323.66,"159,514,610,000.00",-2.44,"620,679,420.00",정혁진(10.42),270,대기업,4,"64,008,000,000.00"
(주)버추얼텍,-,-,,,37.54,2.43,10.83,"8,127,471,000.00",1.36,-35.7,175.66,"9,028,619,000.00",46.61,"10,945,323,000.00",-33.52,"1,216,147,000.00",(주)진선기업(17.27),11,중소기업,7,"39,351,933,330.00"
(주)누리텔레콤,-,-,,,158.99,2.28,13.19,"14,030,655,000.00",1.2,-10.62,44.54,"6,476,003,000.00",172.73,"47,591,731,000.00",13.19,"271,952,750.00",조송만(31.41),160,중소기업,4,"108,499,815,000.00"
(주)코텍,243.5,286.43,"4,460,948,000.00","4,460,948,000.00",546.77,4.72,5.49,"166,589,386,000.00",0.69,23.12,13.49,"37,747,462,000.00",730.81,"297,954,883,000.00",14.2,"763,986,880.00",(주)아이디스홀딩스(32.95),395,대기업,2,"217,265,000,400.00"
유니셈(주),56.66,38.86,"1,191,469,000.00","1,191,469,000.00",211.01,4.18,5.59,"39,048,536,000.00",1.22,6.2,37.13,"8,740,659,000.00",298.75,"112,693,049,000.00",11.54,"257,878,830.00",김형균(13.07),703,중소기업,3,"99,356,436,900.00"
(주)탑엔지니어링,-,97.93,"1,564,607,000.00","1,564,607,000.00",132.95,2.57,38.35,"107,051,476,000.00",0.98,17.12,39.18,"10,388,684,000.00",139.79,"150,212,268,000.00",7.5,"521,570,380.00",김원남(12.91),358,대기업,4,"110,555,698,440.00"
