,2015/Annual,2016/Annual,2016/Annual,2016/Annual,2016/Annual,2016/Annual,2016/Annual,2016/Annual,2016/Annual,2016/Annual,2016/Annual,2016/Annual,2016/Annual,2016/Annual,2016/Annual,2016/Annual,2016,,,2016,2016/Annual
Name,2015주당배당금/0D2007,2016주당배당금/0D2007,배당금/136300,현금배당금/136310,당좌비율/203220,매출채권회전율/194120,재고자산회전율1/194080,이익잉여금/118300,베타/280223,매출액증가율/091060,부채비율/193060,당기순이익/133000,유동비율/193020,매출액/121000,자기자본증가율/191050,매출액(종업원1인당)/195020,1대주주명(지분)/0A2211,종업원수/0A1060,기업규모/0A1070,KIS 신용평점/0A3010,기말시가총액합계(보통주+우선주)/0D1113
(주)메타바이오메드,9.93,9.85,"215,414,000.00","215,414,000.00",98.26,2.61,4.61,"11,368,892,000.00",1.68,1.68,63.82,"638,900,000.00",127.55,"41,268,230,000.00",1.42,"216,064,030.00",오석송(21.57),236,중소기업,6,"105,544,090,975.00"
(주)이건홀딩스,28.04,28.04,"401,764,000.00","401,764,000.00",46.35,4.05,13.37,"51,764,055,000.00",0.52,5.33,139.68,"4,618,003,000.00",56.81,"137,448,277,000.00",4.12,"394,966,310.00",박승준(20.02),52,대기업,7,"44,700,483,360.00"
(주)대성미생물연구소,"1,000.00","1,000.00","380,000,000.00","380,000,000.00",297.6,8.41,5.13,"20,870,368,000.00",0.66,-0.72,22.74,"4,494,825,000.00",433.98,"30,801,319,000.00",15.61,"218,449,070.00",이동규(32.02),130,중소기업,2,"48,564,000,000.00"
에이아이비트(주),-,-,,,138.29,1.84,5.81,"-56,060,532,000.00",1.03,-30.22,167.25,"-22,310,766,000.00",161.66,"35,270,803,000.00",-60.44,"339,142,340.00",준파투자조합(14.79),112,중소기업,9,"87,972,274,845.00"
(주)휴온스글로벌,544.85,407.6,"3,961,279,000.00","3,864,662,000.00",730.97,0.35,0.91,"604,907,519,000.00",1.23,"1,571.61",0.87,"506,066,815,000.00",742.97,"10,740,870,000.00",100.39,"170,490,000.00",윤성태(41.27),160,대기업,3,"333,343,589,600.00"
한국가스공사,161.39,-,,,126.08,4.59,14.52,"5,075,984,621,000.00",1.01,-20.82,376.22,"-853,908,528,000.00",145.97,"20,177,352,361,000.00",-10.3,"5,463,675,160.00",정부(26.15),"4,213.00",기타,6,"4,472,564,850,000.00"
(주)케이티앤지,"3,119.50","3,310.85","454,554,457,000.00","454,554,457,000.00",222.34,3.3,3.29,"5,465,667,096,000.00",0.29,5.19,28.73,"1,087,347,181,000.00",274.24,"2,968,174,762,000.00",11.57,"716,085,590.00",국민연금공단(8.71),"4,075.00",대기업,2,"13,866,542,197,000.00"
(주)이글벳,48.48,19.72,"230,145,000.00","230,145,000.00",97.84,4.89,3.67,"10,082,519,000.00",0.78,14.9,45.88,"2,234,140,000.00",190.83,"28,845,694,000.00",2.35,"297,378,290.00",강태성(14.54),110,중소기업,4,"69,193,813,620.00"
대화제약(주),48.44,48.44,"882,857,000.00","882,857,000.00",44.55,4.38,7.53,"34,627,109,000.00",1.22,13.53,91,"4,766,736,000.00",65.72,"81,959,815,000.00",3.7,"243,204,200.00",고준진(11.42),364,대기업,5,"425,553,142,900.00"
한라아이엠에스(주),96.9,58.84,"594,215,000.00","594,215,000.00",434.87,5.56,5.16,"47,159,677,000.00",1.11,-9.34,31.78,"3,152,687,000.00",507.17,"41,635,145,000.00",5.75,"281,318,550.00",지석준(20.31),175,중소기업,4,"95,224,026,840.00"
한스바이오메드(주),95.53,95.53,"941,737,000.00","941,737,000.00",115.09,2.68,4.17,"26,060,532,000.00",1.22,19.99,35.94,"4,651,216,000.00",192.68,"27,654,942,000.00",8.57,"207,931,890.00",황호찬(22.59),260,중소기업,3,"171,033,818,950.00"
(주)제이브이엠,-,96.08,"608,262,000.00","608,262,000.00",113.13,2.61,8.12,"70,529,388,000.00",0.44,11.16,48.45,"11,889,048,000.00",137.92,"85,141,661,000.00",7.58,"254,154,210.00",한미사이언스(주)(33.95),320,중소기업,4,"271,912,498,600.00"
(주)팬스타엔터프라이즈,-,-,,,73.97,2.62,10.52,"-40,222,266,000.00",0.8,16.04,106.34,"-3,365,630,000.00",85.94,"28,083,159,000.00",-12.23,"202,037,120.00",김현겸(9.50),99,중소기업,8,"45,038,205,135.00"
(주)대창솔루션,27.53,-,,,30.17,3.88,3.54,"22,647,503,000.00",0.92,-16.42,124.02,"-11,296,266,000.00",51.41,"36,520,316,000.00",-12.04,"257,185,320.00",박정호(20.93),157,중소기업,8,"29,568,000,000.00"
(주)에스티큐브,-,-,,,315.38,15.72,99.79,"-5,478,162,000.00",1.12,224.81,38.46,"-4,982,774,000.00",317.42,"15,263,722,000.00",43.13,"1,526,372,200.00",(주)에스티사이언스(15.49),6,중소기업,6,"128,408,160,000.00"
(주)인지디스플레이,49.98,49.98,"1,779,537,000.00","1,779,537,000.00",194.72,7.03,27.59,"81,192,184,000.00",0.93,-15.68,37.86,"4,860,665,000.00",198.65,"75,681,353,000.00",2.7,"536,747,180.00",인지컨트롤스(주)(25.00),439,대기업,4,"88,473,817,810.00"
(주)아즈텍더블유비이,50,50,"997,922,000.00","997,922,000.00",794.75,2.69,2.56,"58,980,278,000.00",1.09,0.74,6.58,"4,318,266,000.00","1,199.59","52,568,059,000.00",13.21,"420,544,470.00",허재명(18.70),108,중소기업,3,"84,528,232,635.00"
바이온(주),-,-,,,68.29,3.46,8.49,"-27,950,949,000.00",1.5,15.7,84.74,"-3,031,661,000.00",74.68,"14,482,597,000.00",18.38,"482,753,230.00",더블유글로벌1호조합(2.52),13,중소기업,7,"43,380,640,920.00"
(주)웰크론,-,-,,,36.37,12.26,5.01,"2,878,251,000.00",0.78,19.32,76.48,"885,152,000.00",87.42,"92,544,784,000.00",2.21,"489,654,940.00",이영규(17.09),222,중소기업,6,"87,942,214,650.00"
코스맥스비티아이(주),129.39,199.05,"1,911,704,000.00","1,911,704,000.00",62.94,3.85,,"65,666,557,000.00",0.18,61.21,34.24,"6,093,091,000.00",62.94,"23,281,054,000.00",1.32,"217,579,940.00",이경수(34.02),165,대기업,5,"359,186,645,400.00"
조광아이엘아이(주),80,80,"790,852,000.00","790,852,000.00",255.27,2.59,3.92,"24,387,468,000.00",1.13,-21.56,27.19,"3,742,691,000.00",325.51,"24,499,975,000.00",15.92,"213,043,260.00",임만수(19.43),115,중소기업,3,"65,739,612,400.00"
(주)유씨아이,-,-,,,122.08,3.82,14.58,"-49,077,156,000.00",1,231.52,98.89,"-11,696,382,000.00",133.14,"16,668,766,000.00",-18.3,"228,339,260.00",에이도스1호조합(4.08),69,중소기업,7,"34,609,728,240.00"
(주)상아프론테크,137.89,138.63,"1,844,025,000.00","1,844,025,000.00",111.51,3.2,8.88,"76,644,298,000.00",1.15,9,70.56,"9,802,520,000.00",136.26,"132,699,208,000.00",11.01,"240,397,120.00",이상원(23.02),553,대기업,4,"120,112,445,670.00"
