,2017/Annual,2018/Annual,2018/Annual,2018/Annual,2018/Annual,2018/Annual,2018/Annual,2018/Annual,2018/Annual,2018/Annual,2018/Annual,2018/Annual,2018/Annual,2018/Annual,2018/Annual,2018/Annual,2018,,,2018,2018/Annual
Name,주당배당금/0D2007,주당배당금/0D2007,배당금/136300,현금배당금/136310,당좌비율/203220,매출채권회전율/194120,재고자산회전율1/194080,이익잉여금/118300,베타/280223,매출액증가율/091060,부채비율/193060,당기순이익/133000,유동비율/193020,매출액/121000,자기자본증가율/191050,매출액(종업원1인당)/195020,1대주주명(지분)/0A2211,종업원수/0A1060,기업규모/0A1070,KIS 신용평점/0A3010,기말시가총액합계(보통주+우선주)/0D1113
(주)메타바이오메드,9.83,9.78,"233,284,000.","233,284,000.",76.04,2.49,6.11,"7,799,322,000.",1.31,6.08,76.08,"757,691,000.",97.83,"46,872,147,000.",12.54,"201,168,010.0",오석송(23.49),236.,중소기업,5,"70,036,000,185."
(주)이건홀딩스,46.74,67.1,"1,515,483,000.","1,515,483,000.",19.05,38.93,,"68,560,006,000.",.4,-31.61,20.80,"16,069,087,000.",19.05,"26,188,341,000.",42.87,"476,151,650.0",박승준(29.74),52.,대기업,4,"63,688,879,380."
(주)대성미생물연구소,850.,85.,"323,000,000.","323,000,000.",405.95,7.43,3.41,"24,868,125,000.",1.,4.38,15.42,"3,170,130,000.",619.51,"25,097,138,000.",8.95,"184,537,780.0",이동규(32.02),130.,중소기업,2,"66,880,000,000."
에이아이비트(주),-,-,,,125.,3.44,,"-69,873,282,000.",1.23,-43.31,143.23,"-8,251,825,000.",125.0,"12,540,252,000.",68.98,"120,579,350.0",(주)바이오써포트(11.38),112.,중소기업,8,"67,989,820,570."
(주)휴온스글로벌,521.83,521.82,"5,429,169,000.","5,170,638,000.",90.02,8.10,22.04,"72,138,759,000.",1.21,7.85,10.14,"10,753,747,000.",98.02,"27,891,898,000.",1.82,"216,216,260.0",윤성태(43.64),160.,대기업,4,"459,349,800,850."
한국가스공사,-,"1,291.11","119,186,646,000.","119,186,646,000.",62.01,5.08,10.79,"4,351,937,778,000.",.78,18.66,433.42,"305,312,827,000.",94.22,"24,985,604,339,000.",1.75,"6,039,546,610.0",정부(26.15),"4,213.",기타,7,"4,449,486,600,000."
(주)케이티앤지,"3,678.72","3,678.72","505,060,508,000.","505,060,508,000.",268.73,3.36,2.87,"6,287,174,855,000.",.23,-12.52,18.53,"840,946,554,000.",342.79,"2,624,616,093,000.",3.10,"592,063,180.0",국민연금공단(9.95),"4,075.",대기업,2,"13,935,188,445,500."
(주)이글벳,19.37,19.42,"245,498,000.","245,498,000.",104.26,4.04,2.66,"11,295,612,000.",.53,-11.40,33.48,"1,041,915,000.",245.27,"30,261,732,000.",8.25,"288,206,970.0",강태성(16.92),110.,중소기업,3,"47,596,689,495."
대화제약(주),97.03,97.03,"1,768,435,000.","1,768,435,000.",46.7,5.43,9.46,"49,389,896,000.",1.27,-6.78,87.11,"6,370,110,000.",63.37,"79,981,413,000.",-0.12,"225,936,190.0",김수지(9.57),364.,대기업,5,"360,854,485,200."
한라아이엠에스(주),58.5,95.58,"1,095,346,000.","1,095,346,000.",162.96,5.61,3.98,"50,461,729,000.",.69,-7.50,37.56,"2,503,606,000.",203.23,"31,985,154,000.",4.47,"213,234,360.0",지석준(18.78),175.,중소기업,5,"80,216,514,000."
한스바이오메드(주),-,99.6,"981,833,000.","981,833,000.",118.48,2.91,4.74,"35,522,669,000.",.85,20.91,32.57,"3,790,210,000.",163.38,"43,045,827,000.",23.13,"209,979,640.0",황호찬(24.11),260.,중소기업,3,"309,536,709,800."
(주)제이브이엠,286.56,328.4,"2,079,043,000.","2,079,043,000.",160.16,2.54,5.17,"88,310,715,000.",.5,-2.59,26.16,"8,142,527,000.",221.99,"90,115,376,000.",1.35,"283,381,690.0",한미사이언스(주)(37.42),320.,중소기업,3,"212,718,508,800."
(주)팬스타엔터프라이즈,-,-,,,115.23,2.44,8.98,"-39,478,893,000.",.66,-15.39,42.92,"-1,045,243,000.",142.02,"28,364,862,000.",15.03,"298,577,490.0",(주)팬스타라인닷컴(6.94),99.,중소기업,6,"29,651,083,903."
(주)대창솔루션,-,-,,,58.96,4.59,3.09,"475,621,000.",.59,4.07,173.47,"-10,930,019,000.",83.42,"32,180,980,000.",-10.67,"217,439,050.0",한명섭(7.01),157.,중소기업,9,"86,764,252,000."
(주)에스티큐브,-,-,,,"3,716.85",4.68,25.63,"-8,850,881,000.",1.56,30.88,40.79,"-8,838,551,000.","3,736.69","11,073,434,000.",74.10,"1,384,179,250.0",(주)에스티사이언스(7.00),6.,중소기업,6,"614,344,743,000."
(주)인지디스플레이,74.97,74.97,"2,669,306,000.","2,669,306,000.",228.47,10.40,55.70,"83,811,284,000.",.49,10.88,28.56,"3,816,601,000.",235.02,"96,956,470,000.",1.06,"479,982,520.0",인지컨트롤스(주)(25.00),439.,대기업,3,"58,923,206,630."
(주)아즈텍더블유비이,-,48.8,"1,020,784,000.","1,020,784,000.",377.58,4.24,2.19,"61,818,867,000.",.44,36.50,16.83,"3,925,313,000.",520.76,"47,006,133,000.",3.40,"415,983,480.0",허재명(22.40),108.,중소기업,3,"36,813,363,840."
바이온(주),-,-,,,105.51,2.30,7.63,"-43,404,892,000.",1.42,43.98,40.25,"-12,171,762,000.",128.54,"16,509,980,000.",39.97,"1,100,665,330.0",더블유글로벌1호조합(7.28),13.,중소기업,7,"76,902,365,100."
(주)웰크론,-,-,,,62.71,7.64,5.98,"4,300,104,000.",1.11,4.66,97.53,"3,135,497,000.",92.88,"104,292,911,000.",6.16,"494,279,200.0",이영규(16.93),222.,중소기업,6,"73,440,869,435."
코스맥스비티아이(주),99.53,139.34,"1,338,193,000.","1,338,193,000.",30.52,3.21,27.29,"68,204,429,000.",1.73,83.72,66.20,"3,043,028,000.",32.18,"56,304,791,000.",,"402,177,080.0",이경수(23.07),165.,대기업,6,"187,756,655,550."
조광아이엘아이(주),80.,100.,"988,566,000.","988,566,000.",548.84,3.05,3.60,"30,011,214,000.",1.1,21.04,17.46,"4,835,244,000.",745.47,"24,602,135,000.",5.96,"217,718,010.0",임만수(19.40),115.,중소기업,3,"48,736,284,080."
(주)유씨아이,-,-,,,91.1,6.95,21.35,"-40,146,086,000.",.33,4.11,74.58,"-786,005,000.",108.69,"16,563,714,000.",140.06,"280,740,920.0",(주)머큐리어드바이저(14.12),69.,중소기업,6,"48,364,030,800."
(주)상아프론테크,138.73,158.54,"2,261,384,000.","2,261,384,000.",104.25,3.61,8.68,"83,747,179,000.",1.27,4.71,65.35,"12,063,783,000.",128.65,"138,321,432,000.",8.90,"242,244,190.0",이상원(21.46),553.,대기업,4,"188,278,675,200."
(주)서울리거,-,-,,,363.36,2.35,12.59,"-5,271,968,000.",.92,18.73,29.55,"-2,727,076,000.",372.78,"16,958,876,000.",33.20,"605,674,140.0",심주엽(15.93),19.,중소기업,6,"66,806,719,280."
(주)대한과학,49.99,59.98,"447,144,000.","447,144,000.",112.02,7.57,3.09,"12,188,196,000.",.71,7.33,25.86,"1,251,189,000.",316.57,"33,984,809,000.",10.03,"278,564,010.0",서정구(8.92),123.,중소기업,3,"34,737,923,400."
(주)코맥스,59.1,59.12,"844,198,000.","703,498,000.",125.43,3.37,6.26,"40,078,951,000.",.95,2.14,58.48,"3,016,440,000.",194.73,"143,251,522,000.",4.04,"675,714,730.0",변봉덕(23.96),191.,대기업,4,"58,976,255,450."
(주)해덕파워웨이,245.09,-,,,141.,6.35,3.92,"71,316,707,000.",.66,16.86,58.34,"-7,431,152,000.",156.15,"32,230,409,000.",10.69,"362,139,430.0",이종희(15.89),88.,중소기업,6,"81,066,045,500."
