,2017/Annual,2018/Annual,2018/Annual,2018/Annual,2018/Annual,2018/Annual,2018/Annual,2018/Annual,2018/Annual,2018/Annual,2018/Annual,2018/Annual,2018/Annual,2018/Annual,2018/Annual,2018/Annual,2018,,,2018,2018/Annual
(주)인팩,130.,130.,"1,300,000,000.","1,300,000,000.",100.54,4.11,19.55,"81,157,484,000.",.1,-11.30,47.65,"1,786,818,000.",118.66,"129,070,997,000.",1.03,"359,529,240.0",최오길(20.00),331.,대기업,4,"31,150,000,000."
(주)포메탈,59.11,59.11,"710,834,000.","710,834,000.",99.56,5.93,11.99,"29,783,446,000.",1.22,2.64,39.84,"2,091,422,000.",139.30,"55,441,042,000.",3.86,"413,739,120.0",오세원(13.92),131.,중소기업,3,"42,886,979,840."
(주)미래컴퍼니,367.85,284.51,"2,237,536,000.","2,097,690,000.",213.75,4.86,11.59,"78,004,147,000.",.99,18.08,37.24,"19,059,562,000.",280.37,"206,951,173,000.",3.91,"650,789,850.0",김준구(21.64),325.,중소기업,4,"389,294,730,000."
(주)에스제이엠홀딩스,181.49,136.12,"2,032,799,000.","2,032,799,000.",189.44,,,"123,212,311,000.",.27,-17.77,9.94,"3,468,326,000.",189.44,"5,326,690,000.",1.10,"1,065,338,000.0",김휘중(51.05),5.,중소기업,4,"51,148,977,400."
삼지전자(주),114.24,133.28,"2,174,972,000.","2,174,972,000.",92.94,3.47,4.86,"38,094,704,000.",1.34,41.15,78.21,"4,221,616,000.",116.46,"45,484,002,000.",11.26,"305,261,760.0",이기남(22.11),156.,대기업,7,"161,226,997,360."
신화인터텍(주),-,-,,,46.33,4.89,8.49,"6,713,150,000.",.8,-1.41,120.41,"-8,123,617,000.",67.21,"157,928,469,000.",-8.94,"442,376,660.0",효성화학(주)(15.26),395.,대기업,8,"43,848,311,955."
(주)파워넷,-,-,,,275.37,7.90,10.73,"16,508,693,000.",.49,-4.67,73.71,"4,754,336,000.",336.95,"116,872,861,000.",50.70,"1,043,507,690.0",(주)위지트(33.17),103.,중소기업,4,"40,952,783,740."
제이엠아이(주),-,-,,,381.56,1.82,9.91,"3,271,757,000.",.58,-25.55,17.05,"1,759,620,000.",412.45,"11,276,792,000.",4.07,"156,622,110.0",제이엠티(주)(17.14),69.,중소기업,4,"34,534,102,520."
동아화성(주),44.63,46.36,"732,565,000.","732,565,000.",129.57,2.17,24.21,"76,115,790,000.",.61,-0.32,62.57,"4,619,659,000.",140.89,"132,936,301,000.",0.79,"373,416,580.0",임경식(40.65),365.,대기업,3,"63,595,000,000."
(주)에쎈테크,-,-,,,79.43,3.77,3.80,"-6,265,910,000.",.87,-11.10,59.61,"2,012,643,000.",170.32,"58,791,068,000.",4.99,"269,683,800.0",(주)대창(34.02),216.,대기업,5,"68,688,000,000."
(주)코엔텍,24.89,398.29,"19,914,288,000.","19,914,288,000.",670.94,7.87,"1,523.87","122,464,887,000.",.14,19.86,31.31,"36,241,472,000.",671.22,"64,252,487,000.",30.66,"845,427,460.0",그린에너지홀딩스(유)(59.29),84.,중소기업,3,"382,000,000,000."
(주)한국팩키지,30.,30.,"750,000,000.","750,000,000.",313.67,5.13,8.33,"28,204,074,000.",1.,-0.21,23.65,"1,774,746,000.",392.71,"56,852,305,000.",2.54,"586,106,240.0",한국제지(주)(40.00),100.,대기업,4,"46,375,000,000."
(주)녹십자셀,49.96,99.92,"1,184,306,000.","1,184,306,000.",682.15,5.42,19.80,"13,739,209,000.",1.8,43.14,85.74,"13,667,172,000.",709.02,"27,964,255,000.",38.71,"140,523,890.0",(주)녹십자(24.69),226.,중소기업,5,"598,577,156,500."
티제이미디어(주),80.,-,,,287.88,12.13,4.10,"61,970,572,000.",.4,-18.77,26.72,"-2,795,032,000.",444.76,"63,176,679,000.",-5.18,"285,867,330.0",김우영(21.03),227.,중소기업,4,"47,715,760,825."
(주)와이티엔,20.,20.,"840,000,000.","840,000,000.",151.53,3.08,323.80,"73,168,864,000.",.43,1.0,51.56,"831,253,000.",152.91,"132,360,036,000.",-1.19,"202,076,390.0",한전케이디엔(주)(21.43),661.,대기업,4,"88,200,000,000."
국일신동(주),68.51,45.67,"506,500,000.","506,500,000.",362.36,3.11,4.0,"35,732,768,000.",.93,-12.15,14.83,"1,012,330,000.",677.54,"29,257,233,000.",0.28,"487,620,550.0",손인국(42.27),61.,중소기업,3,"49,239,600,000."
(주)뉴프렉스,-,-,,,86.75,9.16,7.68,"24,153,392,000.",1.03,29.23,113.34,,139.39,"195,570,294,000.",29.34,"393,501,600.0",임우현(31.91),380.,대기업,5,"60,717,831,930."
(주)동우팜투테이블,49.79,49.79,"1,286,088,000.","1,286,088,000.",433.96,15.72,25.68,"150,067,821,000.",.44,8.37,16.92,"18,123,380,000.",478.20,"250,159,235,000.",10.04,"419,027,190.0",군산도시가스(주)(21.60),639.,대기업,2,"96,739,956,180."
(주)코너스톤네트웍스,-,-,,,208.96,1.09,2.63,"-69,181,988,000.",.61,23.92,70.25,"-2,241,029,000.",217.63,"4,912,212,000.",43.78,"196,488,480.0",(주)파라다이스포인트(24.29),34.,중소기업,8,"32,426,697,016."
(주)형지아이앤씨,-,-,,,34.67,8.56,2.66,"-26,235,357,000.",.79,-4.21,225.67,"-6,227,894,000.",127.86,"108,756,500,000.",-21.31,"1,066,240,200.0",최병오(40.44),92.,중소기업,8,"26,372,987,236."
(주)동아지질,196.52,196.52,"2,260,000,000.","2,260,000,000.",192.55,4.26,132.52,"127,630,397,000.",1.79,6.18,62.20,"21,418,950,000.",194.30,"360,734,225,000.",13.79,"1,027,732,830.0",이정우(30.53),367.,대기업,4,"197,225,000,000."
(주)나노엔텍,-,-,,,394.99,1.62,4.36,"3,559,150,000.",.84,12.37,17.93,"3,683,640,000.",505.34,"24,871,160,000.",44.53,"253,787,350.0",SK텔레콤(주)(28.91),103.,대기업,3,"111,349,965,650."
(주)비씨월드제약,115.6,96.82,"775,330,000.","775,330,000.",107.18,2.63,3.34,"55,180,413,000.",.84,9.77,46.54,"8,675,048,000.",190.03,"55,114,400,000.",10.91,"198,253,240.0",홍성한(34.00),272.,중소기업,3,"179,386,323,200."
(주)에버다임,109.54,109.54,"1,962,588,000.","1,962,588,000.",152.27,3.34,3.08,"142,706,030,000.",.85,-8.92,32.91,"9,172,784,000.",307.01,"287,298,836,000.",4.10,"718,247,090.0",(주)현대그린푸드(45.17),399.,대기업,3,"102,658,359,120."
신흥에스이씨(주),-,150.,"982,752,000.","982,752,000.",156.36,8.52,20.99,"50,588,723,000.",.82,44.54,140.90,"10,844,082,000.",174.04,"156,531,204,000.",20.26,"114,507,100.0",김기린(18.78),"1,613.",중소기업,6,"235,205,419,700."
(주)룽투코리아,-,-,,,"1,034.71",3.48,,"-36,478,907,000.",.87,-11.66,15.0,"9,944,483,000.","1,034.71","34,464,503,000.",3.35,"675,774,570.0",LONGTUGAME HK LIMITED(38.58),50.,중소기업,4,"86,308,794,810."
(주)판타지오,-,-,,,636.54,6.12,,"-52,958,182,000.",.32,-3.88,8.36,"-7,175,800,000.",636.54,"7,240,647,000.",-13.41,"241,354,900.0",골드파이낸스코리아(주)(31.33),49.,중소기업,6,"36,860,899,101."
(주)국보디자인,272.68,266.42,"1,998,139,000.","1,998,139,000.",237.71,8.22,,"95,550,861,000.",.61,-11.97,56.13,"14,098,992,000.",237.71,"231,093,439,000.",9.77,"677,693,370.0",황창연(46.53),348.,대기업,4,"100,500,000,000."
(주)국순당,167.82,256.67,"4,583,778,000.","4,583,778,000.",519.07,6.36,5.02,"169,702,319,000.",.51,-12.33,8.71,"15,171,022,000.",627.32,"52,679,104,000.",6.13,"202,611,940.0",배중호(36.59),247.,중소기업,3,"72,504,714,240."
성우전자(주),80.,78.94,"1,224,265,000.","1,224,265,000.","1,322.66",9.92,68.84,"61,187,832,000.",.55,-22.22,6.0,"1,837,687,000.","1,339.51","51,106,858,000.",-0.66,"464,607,800.0",조성면(31.81),119.,중소기업,3,"44,275,748,265."
(주)드래곤플라이,-,-,,,955.36,8.37,,"-17,374,616,000.",.92,-15.76,9.90,"-8,688,033,000.",955.36,"6,373,655,000.",-15.85,"69,278,860.0",박철우(21.07),58.,중소기업,6,"55,789,591,135."
(주)라이브플렉스,-,-,,,75.59,11.20,64.64,"19,157,733,000.",1.24,-15.62,63.08,"-3,836,071,000.",77.08,"31,308,873,000.",-6.83,"1,043,629,100.0",김병진(16.11),30.,중소기업,6,"55,606,360,072."
(주)듀오백,-,-,,,276.95,5.50,6.40,"19,120,459,000.",.32,-25.63,10.49,"-3,020,578,000.",423.07,"28,484,831,000.",-9.72,"212,573,370.0",정관영(35.33),129.,중소기업,5,"26,509,208,600."
대보마그네틱(주),,-,,,420.76,9.69,5.88,"8,126,845,000.",1.18,56.63,24.79,"3,405,285,000.",493.57,"20,620,188,000.",311.54,"572,783,000.0",이준각(26.94),40.,중소기업,3,"229,514,600,000."
(주)콤텍시스템,-,-,,,249.03,4.15,16.26,"28,131,559,000.",1.54,-12.16,47.48,"6,553,668,000.",265.47,"125,165,448,000.",53.87,"336,466,260.0",(주)아이티센(24.85),455.,대기업,4,"69,145,368,370."
(주)녹원씨엔아이,-,107.92,"1,604,550,000.","1,604,550,000.",117.53,4.52,16.37,"9,343,734,000.",.74,629.04,48.56,"3,375,886,000.",128.20,"31,693,454,000.",74.59,"296,200,500.0",(주)에스피알파트너스(13.71),89.,중소기업,7,"134,551,327,500."
(주)케이피엠테크,-,-,,,155.11,3.33,16.69,"3,742,247,000.",1.46,4.71,24.73,"29,956,876,000.",163.79,"31,397,318,000.",56.07,"570,860,330.0",(주)에버코어인베스트먼트홀딩스(15.42),63.,중소기업,5,"94,571,455,660."
대한뉴팜(주),-,-,,,94.06,2.96,9.50,"-14,102,142,000.",1.08,-8.63,152.41,"2,454,277,000.",119.03,"119,527,949,000.",-16.71,"377,059,780.0",이완진(29.32),328.,중소기업,6,"144,984,692,000."
(주)에이치알에스,80.,30.,"490,644,000.","490,644,000.",110.47,5.22,3.11,"52,506,030,000.",.6,7.74,43.57,"-7,525,420,000.",236.80,"67,943,904,000.",-11.05,"462,203,430.0",강성자(23.03),143.,중소기업,5,"46,284,084,000."
유아이엘(주),350.,240.82,"5,246,234,000.","5,246,234,000.",373.08,5.44,25.99,"72,816,415,000.",.18,-31.09,13.29,"-1,680,383,000.",396.11,"126,435,327,000.",-13.72,"370,778,090.0",(주)유아이엘홀딩스(36.42),319.,대기업,5,"97,160,814,560."
우수AMS(주),29.97,-,,,61.54,8.52,22.30,"28,212,277,000.",1.13,10.90,148.14,"2,500,300,000.",72.89,"199,964,643,000.",3.36,"714,159,440.0",전종인(20.00),286.,대기업,6,"91,615,864,130."
(주)바이넥스,-,-,,,110.14,4.84,8.99,"-7,040,912,000.",1.59,33.31,25.51,"6,315,251,000.",143.74,"104,016,659,000.",16.05,"236,401,500.0",(주)바이넥스홀딩스(9.45),480.,중소기업,4,"290,656,399,680."
(주)아이에이,-,-,,,66.2,6.43,8.57,"-4,859,331,000.",.56,-4.0,74.17,,86.42,"41,805,860,000.",19.45,"588,814,930.0",김동진(11.61),61.,중소기업,8,"125,515,702,400."
(주)이랜텍,-,-,,,131.92,1.22,9.64,"90,032,531,000.",.77,-34.89,62.59,"5,049,031,000.",145.55,"98,192,890,000.",1.64,"386,586,180.0",이세용(24.22),279.,대기업,6,"70,342,637,610."
(주)코미팜,-,-,,,79.4,2.52,2.79,"-11,537,412,000.",1.26,-1.74,50.16,"-12,666,526,000.",114.42,"34,994,051,000.",-6.20,"230,224,020.0",양용진(30.28),144.,중소기업,7,"1,122,962,058,400."
(주)에이텍,100.,98.42,"812,977,000.","812,977,000.",125.21,45.30,13.0,"77,937,273,000.",.94,-7.62,23.69,"6,104,993,000.",202.93,"98,223,147,000.",6.14,"663,669,910.0",신승영(26.03),142.,중소기업,2,"61,124,000,000."
하나제약(주),,278.26,"4,507,840,000.","4,507,840,000.",504.82,4.08,7.41,"92,397,858,000.",1.02,9.69,18.01,"26,169,732,000.",579.09,"152,832,774,000.",153.74,"259,478,390.0",조동훈(25.23),588.,대기업,3,"364,500,000,000."
(주)이스트소프트,-,-,,,72.75,3.79,,"25,379,406,000.",.78,2.87,140.54,"-657,459,000.",72.75,"21,521,886,000.",-6.22,"126,599,330.0",김장중(24.95),185.,중소기업,7,"62,069,238,000."
(주)이오테크닉스,199.95,99.98,"1,227,777,000.","1,227,777,000.",315.15,2.17,3.94,"240,594,339,000.",.81,-27.83,16.23,"5,477,796,000.",446.64,"271,472,082,000.",0.38,"436,450,290.0",성규동(28.40),581.,대기업,3,"593,154,235,800."
(주)파마리서치프로덕트,295.99,299.79,"2,973,431,000.","2,973,431,000.",647.41,3.37,7.26,"69,034,026,000.",1.14,17.76,13.88,"14,408,302,000.",752.76,"63,065,183,000.",10.41,"434,932,300.0",정상수(36.21),186.,중소기업,2,"318,538,202,050."
(주)유진로봇,-,-,,,409.3,5.01,5.20,"-893,777,000.",.99,40.26,31.57,"427,942,000.",486.38,"50,769,821,000.",1.59,"350,136,700.0",(유)시만(39.10),165.,중소기업,5,"131,855,214,280."
(주)하나투어,762.17,571.63,"6,640,159,000.","6,640,159,000.",80.12,6.94,15.24,"117,428,515,000.",1.51,1.29,159.83,"13,396,332,000.",92.50,"542,073,146,000.",-1.73,"198,126,150.0",국민연금공단(11.52),"2,522.",대기업,5,"799,193,528,000."
(주)에스지엔지,-,-,,,80.47,4.65,16.69,"53,382,161,000.",.68,2.26,40.69,"-3,427,846,000.",90.96,"56,385,942,000.",-3.54,"704,824,280.0",이의범(15.61),83.,대기업,6,"80,104,910,600."
와이더블유(주),81.56,80.54,"914,526,000.","914,526,000.",462.21,12.50,10.37,"60,800,829,000.",.34,11.12,52.84,"1,896,483,000.",471.58,"29,376,115,000.",0.61,"1,546,111,320.0",우병일(23.30),19.,중소기업,4,"44,967,257,280."
(주)엘엠에스,128.32,124.66,"1,108,983,000.","1,108,983,000.",170.24,2.17,7.79,"87,709,362,000.",.61,0.62,68.20,"5,403,460,000.",183.23,"80,278,509,000.",2.97,"296,230,660.0",나우주(22.74),281.,중소기업,6,"57,466,577,300."
(주)앤씨앤,-,-,,,"1,014.61",18.69,3.77,"18,715,583,000.",.99,-27.14,24.57,"-11,332,739,000.","1,348.49","30,033,773,000.",-20.31,"232,819,950.0",김경수(22.29),77.,중소기업,5,"109,462,650,000."
(주)지에스홈쇼핑,"6,250.4","6,434.67","42,227,500,000.","42,227,500,000.",241.02,64.10,42.67,"1,046,485,805,000.",.33,2.08,26.62,"120,615,162,000.",250.19,"1,073,513,656,000.",0.92,"1,043,259,140.0",(주)GS(36.10),"1,069.",대기업,2,"1,178,625,000,000."
한국맥널티(주),50.,-,,,87.16,8.41,8.08,"18,823,675,000.",.6,-2.45,49.90,"479,176,000.",126.40,"32,101,989,000.",-2.93,"216,905,330.0",이은정(35.18),152.,중소기업,5,"55,471,250,000."
(주)비지에프,199.95,35.,"3,337,641,000.","3,337,641,000.","2,218.16",19.33,,"644,758,481,000.",.75,"1,438.39",1.50,"66,139,552,000.","2,218.16","86,754,836,000.",128.19,"694,038,690.0",홍석조(62.53),119.,대기업,4,"769,629,274,530."
제이더블유생명과학(주),"1,000.",500.,"7,917,277,000.","7,917,277,000.",57.2,4.33,13.03,"34,771,286,000.",1.23,6.64,87.21,"15,190,382,000.",74.18,"148,855,701,000.",6.78,"572,521,930.0",JW홀딩스(주)(42.98),277.,대기업,3,"347,568,460,300."
(주)케이엔엔,25.,25.,"3,310,743,000.","3,310,743,000.",440.52,5.47,"9,048.89","113,025,506,000.",.46,-3.65,8.09,"7,551,905,000.",440.52,"60,043,899,000.",2.90,"448,088,800.0",(주)넥센(39.44),133.,대기업,2,"110,313,956,760."
(주)백금티앤에이,-,50.,"760,613,000.","760,613,000.",165.63,3.34,152.13,"8,415,947,000.",.81,-8.66,59.56,"5,082,427,000.",168.09,"62,247,878,000.",18.96,"1,073,239,280.0",임학규(25.19),57.,중소기업,5,"42,290,071,680."
(주)티에스이,-,184.69,"2,042,946,000.","2,042,946,000.",390.4,6.08,11.83,"118,777,007,000.",.79,5.84,12.36,"12,658,338,000.",444.24,"107,150,369,000.",10.93,"206,058,400.0",권상준(21.61),489.,대기업,2,"72,231,131,370."
(주)대유,,220.,"1,991,528,000.","1,991,528,000.","1,901.56",14.64,4.21,"24,951,468,000.",1.56,5.01,11.59,"6,057,795,000.","2,209.59","28,744,630,000.",107.42,"247,798,530.0",권성한(27.95),134.,중소기업,3,"163,395,820,000."
(주)코리아나화장품,38.75,-,,,86.84,6.57,8.63,"24,825,217,000.",1.1,-0.99,53.31,"1,362,245,000.",138.14,"103,382,174,000.",-0.11,"334,570,140.0",유민수(5.22),276.,대기업,4,"170,800,000,000."
(주)에스폴리텍,24.03,24.03,"392,547,000.","392,547,000.",96.12,4.82,12.76,"22,590,494,000.",.74,11.90,120.47,"2,029,529,000.",120.49,"136,756,719,000.",3.87,"818,902,510.0",이혁렬(28.38),175.,중소기업,6,"30,137,480,910."
(주)엔이능률,44.79,-,,,158.42,2.37,4.55,"33,731,117,000.",.41,49.60,66.63,"-4,365,087,000.",224.07,"85,990,357,000.",2.87,"233,669,450.0",(주)한국야쿠르트(55.53),351.,대기업,5,"38,063,914,440."
(주)누리플랜,-,-,,,84.69,2.72,62.80,"9,279,224,000.",.86,-8.02,87.65,"373,154,000.",86.95,"31,804,243,000.",5.88,"387,856,620.0",이상우(40.95),78.,중소기업,6,"30,789,078,480."
(주)알에프텍,50.,-,,,291.03,8.24,19.92,"60,195,376,000.",.41,-13.46,30.90,"-9,950,369,000.",308.95,"115,379,924,000.",-12.90,"506,052,300.0",정혁진(10.42),270.,대기업,5,"125,539,500,000."
(주)버추얼텍,-,-,,,190.44,2.83,27.90,"-1,192,985,000.",.68,-38.48,54.63,"-6,645,334,000.",191.09,"9,122,696,000.",9.19,"1,303,242,290.0",서지현(10.93),11.,중소기업,5,"23,318,317,180."
(주)누리텔레콤,-,48.61,"585,963,000.","585,963,000.",86.28,4.67,6.54,"19,764,846,000.",.64,52.04,89.54,"10,441,379,000.",141.19,"146,182,075,000.",20.91,"891,354,120.0",NuriFlex Holdings Inc.(31.41),160.,중소기업,6,"67,752,106,700."
(주)코텍,286.43,381.9,"5,947,930,000.","5,947,930,000.",584.91,4.39,5.76,"214,110,629,000.",.63,5.84,12.25,"35,046,431,000.",784.05,"346,599,584,000.",10.87,"877,467,300.0",(주)아이디스홀딩스(32.95),395.,대기업,2,"216,486,272,800."
유니셈(주),57.56,57.56,"1,764,963,000.","1,764,963,000.",237.16,5.16,9.94,"72,614,999,000.",1.11,1.81,35.19,"15,937,192,000.",287.61,"208,976,766,000.",14.11,"315,674,870.0",김형균(13.07),703.,중소기업,4,"99,198,761,405."
(주)탑엔지니어링,48.53,97.05,"1,550,516,000.","1,550,516,000.",78.32,2.80,7.58,"131,538,708,000.",.64,28.46,55.04,"14,378,958,000.",125.27,"194,208,042,000.",7.02,"574,580,010.0",김원남(13.11),358.,대기업,5,"112,952,136,990."
에스디엔(주),-,-,,,77.25,2.75,7.95,"-3,255,200,000.",.93,16.21,68.61,"1,567,309,000.",95.65,"58,915,895,000.",24.14,"661,976,350.0",최기혁(3.43),100.,중소기업,6,"65,812,789,250."
(주)한컴MDS,186.43,233.04,"2,057,451,000.","2,057,451,000.",326.88,3.72,11.29,"76,742,303,000.",.66,-3.24,27.61,"6,124,814,000.",377.89,"106,962,693,000.",3.99,"336,360,670.0",(주)한글과컴퓨터(32.45),314.,대기업,2,"128,897,676,800."
대원미디어(주),-,81.44,"1,024,371,000.","1,024,371,000.",236.14,13.86,14.80,"12,032,118,000.",.97,72.12,17.51,"13,257,722,000.",375.83,"113,364,396,000.",28.86,"815,571,190.0",정욱(23.77),140.,중소기업,3,"125,663,670,540."
(주)제이웨이,-,-,,,167.03,3.26,,"-24,010,528,000.",.3,-25.25,25.0,"-2,786,879,000.",167.03,"4,712,513,000.",65.95,"214,205,140.0",김병건(19.58),17.,중소기업,6,"21,271,441,400."
